client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,86,61,0,6,51.138,0.916,0.877,845,0.012,0.9999,5,0.000000
1,86,62,1,7,34.833,0.877,0.889,948,0.936,0.9999,4,-0.001800
2,86,79,0,9,4.094,0.039,0.966,955,0.656,0.9987,1,0.000000
3,86,85,0,11,32.933,0.400,0.905,266,0.746,0.9999,5,0.000000
4,86,84,0,8,30.172,0.432,0.975,679,1.108,0.9999,5,0.000000
5,86,69,0,7,7.953,0.638,0.913,984,3.461,0.9997,1,0.000000
6,86,80,0,9,41.341,0.533,0.955,525,0.050,0.9999,3,0.000000
7,86,82,0,8,63.041,0.436,0.962,511,0.074,0.9999,2,0.000000
8,86,71,1,6,42.566,0.196,0.968,386,2.418,0.9998,5,0.000500
9,86,80,0,9,45.227,0.077,0.938,950,25.105,0.9994,2,0.000000
10,86,64,0,8,90.895,0.445,0.976,204,3.818,0.9996,2,0.000000
11,86,66,0,7,66.209,0.147,0.952,1012,2.322,0.9999,4,0.000000
12,86,77,0,4,18.841,0.786,0.925,293,0.008,0.9998,4,0.000000
13,86,83,0,10,36.191,0.327,0.938,1124,1.286,0.9983,1,0.000000
14,86,76,1,11,34.143,0.089,0.990,873,0.843,0.9999,2,-0.001300
15,86,75,0,6,7.066,0.503,0.909,547,4.810,0.9994,1,0.000000
16,86,69,0,7,55.884,0.820,0.800,745,7.700,0.9999,5,0.000000
17,86,85,0,13,27.680,0.639,0.914,475,0.535,0.9997,2,0.000000
18,86,71,0,11,79.771,0.310,0.952,323,0.482,0.9999,5,0.000000
19,86,82,0,12,64.862,0.300,0.947,410,0.802,0.9998,5,0.000000
20,86,67,0,12,3.780,0.476,0.930,526,1.228,0.9999,5,0.000000
21,86,81,0,8,57.416,0.734,0.894,544,0.438,0.9999,5,0.000000
22,86,83,0,12,6.736,0.253,0.981,1070,10.920,0.9999,5,0.000000
23,86,42,0,5,91.284,0.996,0.909,557,0.155,0.9999,5,0.000000
24,86,78,0,11,21.505,0.248,0.882,350,21.003,0.9960,2,0.000000
25,86,83,0,8,59.325,0.386,0.955,761,4.125,0.9998,3,0.000000
26,86,81,0,12,84.736,0.494,0.839,933,0.205,0.9999,5,0.000000
27,86,57,0,6,15.508,1.065,0.910,314,2.279,0.9998,2,0.000000
28,86,75,0,11,60.503,0.457,0.942,327,1.735,0.9998,2,0.000000
29,86,84,0,12,86.244,0.346,0.944,634,0.232,0.9997,2,0.000000
30,86,65,0,6,75.940,0.675,0.887,339,4.490,0.9994,1,0.000000
31,86,59,0,3,30.635,0.588,0.870,493,0.139,0.9996,2,0.000000
32,86,68,0,12,80.600,0.272,0.953,392,2.180,0.9995,1,0.000000
33,86,84,0,12,6.661,0.750,0.885,451,3.341,0.9998,4,0.000000
34,86,85,0,9,40.414,0.027,1.000,832,0.012,0.9999,5,0.000000
35,86,79,1,7,54.181,0.133,0.990,722,0.026,0.9999,3,-0.002400
36,86,36,0,3,62.872,1.880,0.836,674,2.998,0.9998,2,0.000000
37,86,84,0,10,21.787,0.112,0.977,691,0.453,0.9997,2,0.000000
38,86,83,0,6,87.310,0.476,0.984,1041,0.253,0.9995,4,0.000000
39,86,85,1,9,72.951,1.981,0.844,688,5.687,0.9994,1,0.002400
40,86,51,0,6,67.638,0.108,0.941,245,1.145,0.9996,2,0.000000
41,86,76,1,7,0.238,0.487,0.921,964,0.489,0.9999,4,0.001900
