client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,50,34,0,4,93.301,0.756,0.846,716,3.236,0.9995,1,0.000000
1,50,43,0,4,45.026,0.865,0.875,278,1.751,0.9999,4,0.000000
2,50,38,0,5,88.896,0.007,1.000,971,0.643,0.9995,2,0.000000
3,50,49,0,6,43.853,0.300,0.929,770,1.155,0.9998,3,0.000000
4,50,34,0,3,23.973,0.491,0.950,481,1.300,0.9999,4,0.000000
5,50,30,0,3,43.273,0.762,0.891,495,0.717,0.9997,1,0.000000
6,50,33,0,4,35.417,0.515,0.924,335,4.174,0.9999,4,0.000000
7,50,47,0,6,50.904,0.401,0.949,1042,0.511,1.0000,5,0.000000
8,50,20,0,2,95.992,0.346,0.871,859,3.137,0.9998,5,0.000000
9,50,43,0,6,47.528,0.096,0.969,1024,0.266,0.9997,3,0.000000
10,50,23,0,5,8.252,0.212,0.976,679,0.356,0.9999,4,0.000000
11,50,40,0,4,58.095,0.259,0.952,847,1.578,0.9998,4,0.000000
12,50,28,0,2,18.415,0.799,0.887,502,3.611,0.9999,3,0.000000
13,50,34,0,4,66.791,0.220,0.938,1107,2.341,0.9991,2,0.000000
14,50,47,1,6,18.446,0.048,0.990,591,0.005,1.0000,4,0.005300
15,50,29,0,4,72.559,0.265,0.909,1158,3.972,0.9996,1,0.000000
16,50,35,0,4,2.061,0.845,0.800,1114,7.992,0.9995,1,0.000000
17,50,44,0,6,49.173,0.347,0.971,507,3.100,0.9995,2,0.000000
18,50,49,0,8,80.383,0.483,0.921,622,2.212,0.9999,4,0.000000
19,50,43,0,7,0.963,0.331,0.895,729,1.213,0.9998,5,0.000000
20,50,44,0,8,66.024,0.489,0.930,531,0.853,0.9999,4,0.000000
21,50,49,0,5,23.777,0.919,0.864,312,3.886,0.9999,4,0.000000
22,50,46,0,4,65.527,0.436,0.961,600,0.008,1.0000,5,0.000000
23,50,42,0,5,91.284,0.996,0.909,557,0.155,0.9999,5,0.000000
24,50,32,0,6,60.708,0.146,0.941,278,0.299,0.9994,3,0.000000
25,50,40,0,4,57.168,0.368,0.939,203,4.030,0.9997,3,0.000000
26,50,41,0,4,30.765,0.512,0.806,1054,1.544,0.9993,1,0.000000
27,50,47,0,5,9.737,0.941,0.859,1152,3.155,0.9995,1,0.000000
28,50,39,0,5,70.627,1.423,0.855,401,3.434,0.9999,5,0.000000
29,50,19,0,3,89.437,0.294,0.963,780,2.891,0.9995,1,0.000000
30,50,35,0,4,63.640,0.862,0.871,429,3.342,0.9998,3,0.000000
31,50,31,0,2,33.454,0.702,0.913,846,16.829,0.9994,1,0.000000
32,50,47,0,11,97.440,0.718,0.860,1100,5.133,0.9997,2,0.000000
33,50,48,0,5,72.021,0.796,0.788,1186,3.419,0.9997,3,0.000000
34,50,49,0,5,35.275,0.021,1.000,892,0.011,0.9997,2,0.000000
35,50,40,1,3,10.557,0.385,0.958,908,0.000,0.9999,4,0.001500
36,50,36,0,3,62.872,1.880,0.836,674,2.998,0.9998,2,0.000000
37,50,39,0,5,63.356,0.259,0.977,746,0.223,0.9997,3,0.000000
38,50,21,0,3,67.134,0.514,0.951,584,0.260,0.9998,2,0.000000
39,50,46,0,7,46.993,2.025,0.844,442,3.436,0.9998,3,0.000000
40,50,23,1,4,38.331,0.199,0.941,409,1.176,0.9996,4,-0.001100
41,50,49,0,5,32.492,0.969,0.905,737,1.813,0.9999,5,0.000000
42,50,48,0,8,78.746,0.071,1.000,1006,0.005,0.9991,1,0.000000
43,50,48,0,3,41.979,0.095,0.969,735,3.295,0.9998,5,0.000000
44,50,6,0,1,87.308,1.181,0.918,645,3.660,0.9998,3,0.000000
45,50,44,0,6,19.011,0.461,0.857,584,0.000,0.9999,5,0.000000
46,50,36,0,6,7.723,0.779,0.862,877,3.325,0.9996,2,0.000000
47,50,49,0,6,13.504,0.825,0.923,578,4.620,0.9996,3,0.000000
48,50,39,0,4,94.632,0.226,0.957,545,0.022,0.9999,4,0.000000
49,50,11,0,2,95.358,0.396,0.932,892,0.712,0.9999,3,0.000000
50,50,47,0,7,22.670,0.704,0.921,824,5.737,0.9999,5,0.000000
51,50,43,0,4,58.888,0.384,0.944,285,0.122,0.9996,1,0.000000
52,50,48,0,4,41.199,0.814,0.857,890,2.661,0.9990,1,0.000000
53,50,36,0,5,81.046,0.789,0.917,581,1.350,0.9999,4,0.000000
54,50,45,1,8,28.775,0.393,0.956,1114,0.143,0.9997,1,0.010100
55,50,46,0,8,44.680,0.045,0.976,544,2.152,0.9998,2,0.000000
56,50,48,0,6,0.094,0.251,0.940,495,2.368,0.9997,3,0.000000
57,50,46,0,5,94.018,0.271,0.968,661,0.099,0.9999,4,0.000000
58,50,33,0,4,15.248,0.539,0.900,715,4.193,0.9996,1,0.000000
59,50,23,0,2,17.146,0.763,0.909,781,7.424,0.9994,2,0.000000
60,50,48,0,6,32.500,0.143,0.958,727,0.411,0.9999,4,0.000000
61,50,48,0,6,36.948,0.195,0.986,798,4.032,0.9997,2,0.000000
62,50,49,0,5,2.473,0.246,0.969,864,0.006,0.9999,5,0.000000
63,50,37,1,5,56.885,0.544,0.946,783,1.738,0.9999,4,-0.004400
64,50,45,0,6,25.186,0.397,0.860,438,11.964,0.9997,4,0.000000
65,50,34,0,4,60.017,1.359,0.767,653,7.531,0.9997,3,0.000000
66,50,45,0,2,64.020,0.389,0.957,1146,0.743,0.9997,2,0.000000
67,50,44,0,4,94.500,0.718,0.910,272,0.550,0.9999,5,0.000000
68,50,46,0,7,1.597,0.159,0.968,826,0.447,0.9999,5,0.000000
69,50,48,0,7,61.838,0.224,0.984,492,1.133,0.9999,3,0.000000
70,50,45,0,5,80.550,0.767,0.886,298,0.401,0.9992,1,0.000000
