client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,119,117,0,9,96.410,0.917,0.877,925,8.755,0.9999,3,0.000000
1,119,96,0,10,65.466,0.512,0.931,876,6.083,0.9997,1,0.000000
2,119,110,1,14,61.285,0.010,1.000,1110,0.561,0.9998,4,0.001000
3,119,107,0,13,76.401,0.434,0.857,635,3.906,0.9995,1,0.000000
4,119,96,1,10,82.480,0.324,0.975,636,0.907,1.0000,5,-0.001900
5,119,113,0,10,41.797,0.710,0.891,293,15.129,0.9998,5,0.000000
6,119,80,0,9,41.341,0.533,0.955,525,0.050,0.9999,3,0.000000
7,119,104,0,11,50.802,0.488,0.975,429,0.266,1.0000,4,0.000000
8,119,102,0,10,69.945,0.200,0.935,534,2.390,0.9994,1,0.000000
9,119,115,0,13,90.016,0.166,0.969,402,0.100,0.9999,5,0.000000
10,119,106,0,12,40.611,0.085,0.976,755,1.728,0.9999,5,0.000000
11,119,116,0,12,48.473,0.074,0.984,749,2.473,0.9999,3,0.000000
12,119,117,0,7,58.068,0.644,0.906,733,0.634,0.9996,2,0.000000
13,119,102,0,14,47.620,0.299,0.938,869,0.682,0.9985,1,0.000000
14,119,103,0,13,53.933,0.070,0.990,276,0.087,1.0000,5,0.000000
15,119,113,0,8,6.327,0.223,0.909,977,1.319,0.9993,2,0.000000
16,119,113,0,9,1.614,0.604,0.900,983,4.755,0.9998,3,0.000000
17,119,116,0,14,38.240,1.487,0.914,1129,2.841,0.9988,1,0.000000
18,119,111,0,13,22.379,0.264,0.937,361,1.896,0.9998,2,0.000000
19,119,104,0,14,96.343,0.266,0.947,613,1.745,0.9998,4,0.000000
20,119,99,1,13,47.781,0.339,0.958,787,0.103,0.9999,5,-0.004200
21,119,116,0,16,31.645,1.708,0.848,401,3.368,0.9999,5,0.000000
22,119,108,0,15,76.958,0.337,0.971,543,0.003,0.9998,1,0.000000
23,119,103,0,6,59.934,0.525,0.924,1058,3.215,0.9998,3,0.000000
24,119,105,0,14,15.692,0.037,1.000,775,0.695,0.9996,2,0.000000
25,119,115,0,13,74.733,0.312,0.955,393,2.314,0.9993,1,0.000000
26,119,109,0,14,64.054,0.422,0.839,802,0.556,0.9998,3,0.000000
27,119,57,1,6,28.005,1.065,0.910,314,2.279,0.9995,1,0.003100
28,119,106,0,14,91.480,0.448,0.942,519,0.397,0.9999,5,0.000000
29,119,110,0,17,17.760,0.313,0.963,859,0.225,0.9998,2,0.000000
30,119,106,0,11,80.451,0.666,0.935,586,3.936,0.9999,5,0.000000
31,119,90,0,4,51.453,0.566,0.957,430,1.562,0.9998,4,0.000000
32,119,115,0,16,7.516,0.227,0.977,861,1.868,0.9996,2,0.000000
33,119,94,0,13,0.057,0.572,0.885,906,3.204,0.9996,2,0.000000
34,119,108,0,13,98.644,0.059,0.938,414,0.000,0.9991,1,0.000000
35,119,117,0,12,57.590,0.186,0.979,850,0.014,0.9999,3,0.000000
36,119,108,0,4,36.878,0.874,0.922,691,2.976,0.9999,4,0.000000
37,119,100,0,13,11.311,0.095,0.977,1191,1.645,0.9997,4,0.000000
38,119,113,0,10,68.519,0.420,0.984,731,0.106,0.9993,1,0.000000
39,119,87,0,11,62.151,1.903,0.831,1159,3.237,0.9997,2,0.000000
40,119,113,0,12,60.556,0.115,0.941,449,2.539,0.9996,2,0.000000
41,119,114,0,13,83.383,0.593,0.905,550,2.538,0.9998,2,0.000000
42,119,118,1,15,30.257,0.009,1.000,925,1.047,0.9999,4,-0.008100
43,119,97,0,5,19.323,0.106,0.969,449,2.185,0.9995,2,0.000000
44,119,111,0,7,67.078,1.338,0.863,974,1.303,0.9989,1,0.000000
45,119,105,0,12,35.408,0.459,0.881,838,0.000,0.9996,1,0.000000
46,119,105,0,15,47.037,0.530,0.931,292,4.006,0.9997,2,0.000000
47,119,116,1,10,17.975,0.264,0.974,661,0.250,0.9995,2,-0.001700
48,119,115,0,14,65.571,0.071,1.000,312,0.960,0.9998,2,0.000000
49,119,112,0,5,34.643,0.142,0.973,937,0.636,0.9999,3,0.000000
50,119,117,0,13,1.803,0.304,0.947,276,2.045,0.9996,2,0.000000
51,119,117,0,11,41.679,0.359,0.958,480,2.602,0.9997,2,0.000000
52,119,118,0,13,84.132,0.466,0.878,406,0.112,0.9999,5,0.000000
53,119,112,0,12,18.291,0.463,0.950,1020,1.817,0.9994,1,0.000000
54,119,106,0,13,30.834,0.254,0.971,265,1.847,0.9999,3,0.000000
55,119,118,0,14,25.929,0.056,0.976,532,0.157,0.9999,4,0.000000
56,119,111,0,15,12.151,0.386,0.920,1072,0.014,0.9997,3,0.000000
57,119,114,0,12,49.373,0.289,0.984,840,1.840,0.9997,2,0.000000
58,119,107,0,10,28.853,0.298,0.933,1130,2.053,0.9995,1,0.000000
59,119,114,0,12,13.864,0.445,0.909,725,0.773,0.9996,4,0.000000
60,119,113,0,14,73.682,0.118,0.979,1162,3.877,0.9999,5,0.000000
61,119,100,0,12,15.338,0.174,0.971,235,4.327,0.9997,3,0.000000
62,119,115,0,10,64.444,0.247,0.984,511,0.153,0.9999,4,0.000000
63,119,116,0,12,62.657,0.209,0.978,675,0.745,0.9999,4,0.000000
64,119,113,0,11,93.621,0.413,0.907,923,6.212,0.9996,1,0.000000
65,119,61,0,5,52.417,1.117,0.837,966,0.651,0.9998,4,0.000000
66,119,104,1,12,29.205,0.178,0.986,1003,2.787,0.9999,3,0.003600
67,119,96,0,6,57.669,0.553,0.940,206,3.159,0.9997,2,0.000000
68,119,114,0,15,12.530,0.221,0.935,462,0.055,0.9996,1,0.000000
69,119,102,0,11,67.653,0.291,0.951,554,0.000,0.9999,5,0.000000
70,119,118,1,17,10.977,1.104,0.900,730,2.017,0.9999,5,-0.006500
71,119,113,0,11,30.438,0.494,0.959,1035,1.097,0.9997,1,0.000000
72,119,116,0,9,18.020,0.199,0.946,633,2.637,0.9998,2,0.000000
73,119,117,0,16,17.371,0.727,0.941,1169,3.433,0.9998,3,0.000000
74,119,114,0,9,63.342,0.964,0.846,1070,5.835,0.9992,1,0.000000
75,119,118,0,12,55.314,0.654,0.919,850,2.404,0.9999,5,0.000000
76,119,116,0,18,73.583,0.620,0.912,363,0.597,0.9998,2,0.000000
77,119,105,1,12,69.985,0.202,0.961,541,2.845,0.9997,3,0.005400
78,119,116,0,12,2.572,0.243,0.965,873,0.005,0.9999,3,0.000000
79,119,85,0,12,2.441,0.515,0.905,1047,0.797,0.9997,3,0.000000
80,119,101,0,10,53.214,0.495,0.922,229,1.000,0.9999,5,0.000000
81,119,118,0,12,62.496,0.167,0.958,591,5.143,0.9998,2,0.000000
82,119,101,0,14,50.683,0.258,0.951,764,1.549,0.9999,5,0.000000
83,119,117,0,14,18.447,0.075,1.000,894,0.165,0.9999,4,0.000000
84,119,105,0,10,52.166,0.446,0.981,570,0.000,0.9999,3,0.000000
85,119,107,0,12,83.629,0.003,1.000,999,0.000,0.9997,2,0.000000
86,119,112,1,11,57.474,0.083,0.977,590,0.436,0.9996,1,0.007400
87,119,107,0,13,29.900,0.048,0.988,879,3.482,0.9999,5,0.000000
88,119,118,0,13,15.219,0.201,0.976,971,0.464,0.9999,4,0.000000
89,119,114,0,12,5.587,0.088,0.984,534,1.605,0.9997,2,0.000000
90,119,118,0,9,12.898,0.552,0.951,943,0.812,0.9998,3,0.000000
91,119,116,0,14,79.309,0.153,0.974,872,1.304,0.9998,4,0.000000
92,119,111,0,14,25.580,0.542,0.937,1123,0.005,0.9997,2,0.000000
93,119,118,0,12,71.229,0.063,1.000,736,3.629,0.9996,1,0.000000
94,119,78,0,9,62.831,0.164,0.986,1101,1.443,0.9998,2,0.000000
95,119,114,0,13,59.875,0.254,0.925,526,0.026,0.9989,3,0.000000
96,119,116,0,11,18.234,0.502,0.948,1112,1.167,0.9999,4,0.000000
97,119,118,0,17,16.164,0.167,0.972,775,0.420,0.9998,2,0.000000
98,119,111,0,16,50.300,0.156,0.971,555,0.218,0.9998,2,0.000000
99,119,115,0,15,94.711,0.452,0.906,723,1.139,0.9997,2,0.000000
