client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,116,113,0,8,51.790,0.677,0.892,906,4.217,0.9994,1,0.000000
1,116,96,0,10,65.466,0.512,0.931,876,6.083,0.9997,1,0.000000
2,116,110,0,14,51.074,0.010,1.000,1110,0.561,0.9996,5,0.000000
3,116,107,0,13,76.401,0.434,0.857,635,3.906,0.9995,1,0.000000
4,116,96,0,10,5.132,0.324,0.975,636,0.907,0.9994,1,0.000000
5,116,113,0,10,41.797,0.710,0.891,293,15.129,0.9998,5,0.000000
6,116,80,0,9,41.341,0.533,0.955,525,0.050,0.9999,3,0.000000
7,116,104,0,11,50.802,0.488,0.975,429,0.266,1.0000,4,0.000000
8,116,102,0,10,69.945,0.200,0.935,534,2.390,0.9994,1,0.000000
9,116,115,0,13,90.016,0.166,0.969,402,0.100,0.9999,5,0.000000
10,116,106,0,12,40.611,0.085,0.976,755,1.728,0.9999,5,0.000000
11,116,101,1,11,48.473,0.091,0.968,277,0.986,0.9999,3,0.003900
12,116,111,0,6,92.210,0.714,0.887,273,2.061,0.9996,3,0.000000
13,116,102,0,14,47.620,0.299,0.938,869,0.682,0.9985,1,0.000000
14,116,103,0,13,53.933,0.070,0.990,276,0.087,1.0000,5,0.000000
15,116,113,0,8,6.327,0.223,0.909,977,1.319,0.9993,2,0.000000
16,116,113,0,9,1.614,0.604,0.900,983,4.755,0.9998,3,0.000000
17,116,85,1,13,38.240,0.639,0.914,475,0.535,0.9988,1,0.003500
18,116,111,0,13,22.379,0.264,0.937,361,1.896,0.9998,2,0.000000
19,116,104,0,14,96.343,0.266,0.947,613,1.745,0.9998,4,0.000000
20,116,99,0,13,6.295,0.339,0.958,787,0.103,0.9999,4,0.000000
21,116,112,1,15,31.645,0.994,0.909,1079,0.125,0.9999,5,0.001600
22,116,108,0,15,76.958,0.337,0.971,543,0.003,0.9998,1,0.000000
23,116,103,0,6,59.934,0.525,0.924,1058,3.215,0.9998,3,0.000000
24,116,105,0,14,15.692,0.037,1.000,775,0.695,0.9996,2,0.000000
25,116,115,0,13,74.733,0.312,0.955,393,2.314,0.9993,1,0.000000
26,116,109,0,14,64.054,0.422,0.839,802,0.556,0.9998,3,0.000000
27,116,57,0,6,15.508,1.065,0.910,314,2.279,0.9998,2,0.000000
28,116,106,0,14,91.480,0.448,0.942,519,0.397,0.9999,5,0.000000
29,116,110,0,17,17.760,0.313,0.963,859,0.225,0.9998,2,0.000000
30,116,106,0,11,80.451,0.666,0.935,586,3.936,0.9999,5,0.000000
31,116,90,0,4,51.453,0.566,0.957,430,1.562,0.9998,4,0.000000
32,116,115,0,16,7.516,0.227,0.977,861,1.868,0.9996,2,0.000000
33,116,94,0,13,0.057,0.572,0.885,906,3.204,0.9996,2,0.000000
34,116,108,0,13,98.644,0.059,0.938,414,0.000,0.9991,1,0.000000
35,116,115,0,11,16.731,0.225,0.969,940,1.714,0.9999,2,0.000000
36,116,108,0,4,36.878,0.874,0.922,691,2.976,0.9999,4,0.000000
37,116,100,0,13,11.311,0.095,0.977,1191,1.645,0.9997,4,0.000000
38,116,113,0,10,68.519,0.420,0.984,731,0.106,0.9993,1,0.000000
39,116,87,0,11,62.151,1.903,0.831,1159,3.237,0.9997,2,0.000000
40,116,113,0,12,60.556,0.115,0.941,449,2.539,0.9996,2,0.000000
41,116,114,0,13,83.383,0.593,0.905,550,2.538,0.9998,2,0.000000
42,116,100,0,14,19.036,0.021,1.000,1171,0.219,0.9977,5,0.000000
43,116,97,0,5,19.323,0.106,0.969,449,2.185,0.9995,2,0.000000
44,116,111,0,7,67.078,1.338,0.863,974,1.303,0.9989,1,0.000000
45,116,105,0,12,35.408,0.459,0.881,838,0.000,0.9996,1,0.000000
46,116,105,0,15,47.037,0.530,0.931,292,4.006,0.9997,2,0.000000
47,116,87,1,9,17.307,0.428,0.974,1176,1.794,0.9994,2,0.007300
48,116,115,0,14,65.571,0.071,1.000,312,0.960,0.9998,2,0.000000
49,116,112,0,5,34.643,0.142,0.973,937,0.636,0.9999,3,0.000000
50,116,108,0,12,79.095,0.296,0.921,1149,2.503,0.9999,5,0.000000
51,116,114,0,10,56.886,0.751,0.859,1136,0.410,0.9991,3,0.000000
52,116,109,0,11,86.759,0.476,0.898,660,1.515,0.9996,1,0.000000
53,116,112,0,12,18.291,0.463,0.950,1020,1.817,0.9994,1,0.000000
54,116,106,0,13,30.834,0.254,0.971,265,1.847,0.9999,3,0.000000
55,116,111,0,13,14.462,0.035,1.000,823,0.943,0.9997,2,0.000000
56,116,111,0,15,12.151,0.386,0.920,1072,0.014,0.9997,3,0.000000
57,116,114,0,12,49.373,0.289,0.984,840,1.840,0.9997,2,0.000000
58,116,107,0,10,28.853,0.298,0.933,1130,2.053,0.9995,1,0.000000
59,116,114,0,12,13.864,0.445,0.909,725,0.773,0.9996,4,0.000000
60,116,113,0,14,73.682,0.118,0.979,1162,3.877,0.9999,5,0.000000
61,116,100,0,12,15.338,0.174,0.971,235,4.327,0.9997,3,0.000000
62,116,115,0,10,64.444,0.247,0.984,511,0.153,0.9999,4,0.000000
63,116,114,1,11,62.657,0.201,0.978,579,1.563,0.9999,4,0.005300
64,116,113,0,11,93.621,0.413,0.907,923,6.212,0.9996,1,0.000000
65,116,61,0,5,52.417,1.117,0.837,966,0.651,0.9998,4,0.000000
66,116,104,0,12,8.219,0.178,0.986,1003,2.787,1.0000,5,0.000000
67,116,96,0,6,57.669,0.553,0.940,206,3.159,0.9997,2,0.000000
68,116,114,0,15,12.530,0.221,0.935,462,0.055,0.9996,1,0.000000
69,116,102,0,11,67.653,0.291,0.951,554,0.000,0.9999,5,0.000000
70,116,115,0,16,88.676,1.240,0.886,500,0.040,0.9999,5,0.000000
71,116,113,0,11,30.438,0.494,0.959,1035,1.097,0.9997,1,0.000000
72,116,91,1,8,18.020,0.251,0.973,957,3.068,0.9998,2,0.004600
73,116,115,0,15,51.880,0.482,0.941,467,0.824,0.9998,2,0.000000
74,116,114,0,9,63.342,0.964,0.846,1070,5.835,0.9992,1,0.000000
75,116,99,0,11,28.718,0.641,0.919,620,2.659,0.9994,1,0.000000
76,116,115,1,17,73.583,1.397,0.882,694,14.680,0.9998,2,-0.001000
77,116,105,0,12,85.211,0.202,0.961,541,2.845,0.9997,1,0.000000
78,116,99,1,11,2.572,0.262,0.976,864,2.068,0.9999,3,0.002400
79,116,85,0,12,2.441,0.515,0.905,1047,0.797,0.9997,3,0.000000
80,116,101,0,10,53.214,0.495,0.922,229,1.000,0.9999,5,0.000000
81,116,110,0,11,32.150,0.190,0.972,912,2.993,0.9999,5,0.000000
82,116,101,0,14,50.683,0.258,0.951,764,1.549,0.9999,5,0.000000
83,116,112,0,13,46.821,0.586,0.971,667,0.166,0.9996,2,0.000000
84,116,105,0,10,52.166,0.446,0.981,570,0.000,0.9999,3,0.000000
85,116,107,0,12,83.629,0.003,1.000,999,0.000,0.9997,2,0.000000
86,116,112,0,11,9.836,0.083,0.977,590,0.436,0.9999,4,0.000000
87,116,107,0,13,29.900,0.048,0.988,879,3.482,0.9999,5,0.000000
88,116,102,0,12,49.249,0.158,0.988,886,0.069,0.9999,2,0.000000
89,116,114,0,12,5.587,0.088,0.984,534,1.605,0.9997,2,0.000000
90,116,100,0,8,77.729,0.504,0.918,1016,0.145,0.9995,1,0.000000
91,116,111,1,13,79.309,0.179,0.947,806,3.996,0.9998,4,0.010500
92,116,111,0,14,25.580,0.542,0.937,1123,0.005,0.9997,2,0.000000
93,116,103,0,10,57.193,0.091,1.000,593,3.923,0.9996,1,0.000000
94,116,78,0,9,62.831,0.164,0.986,1101,1.443,0.9998,2,0.000000
95,116,114,0,13,59.875,0.254,0.925,526,0.026,0.9989,3,0.000000
96,116,109,1,10,18.234,0.434,0.966,257,0.069,0.9999,4,0.000900
97,116,110,0,15,84.098,0.260,0.972,565,0.005,0.9999,3,0.000000
98,116,111,0,16,50.300,0.156,0.971,555,0.218,0.9998,2,0.000000
99,116,115,0,15,94.711,0.452,0.906,723,1.139,0.9997,2,0.000000
