client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,pcdi,contribution
0,139,134,0,11,95.458,0.875,0.909,577,1.986,0.9996,1,141432.90,0.000000
1,139,117,0,18,43.221,0.011,1.000,1066,0.002,0.9998,5,7276.00,0.000000
2,139,136,1,11,45.897,0.084,0.990,962,1.408,0.9997,1,209403.60,0.001700
3,139,99,0,9,94.416,0.018,1.000,734,4.591,0.9997,2,49831.60,0.000000
4,139,127,0,12,74.402,0.042,1.000,387,1.168,0.9996,1,15392.10,0.000000
5,139,132,1,11,46.445,0.295,0.967,1173,0.088,0.9999,4,54790.50,0.003000
6,139,131,0,17,26.480,0.388,0.912,804,4.814,0.9997,3,37796.10,0.000000
7,139,135,0,15,7.852,0.005,1.000,543,1.506,0.9998,1,12127.60,0.000000
8,139,129,0,12,82.660,1.675,0.910,1017,0.000,0.9999,4,99152.90,0.000000
9,139,138,0,16,97.557,0.130,0.988,617,0.984,1.0000,5,133986.10,0.000000
10,139,112,0,10,9.647,0.231,0.882,271,0.708,0.9998,5,10212.90,0.000000
11,139,136,0,14,15.966,0.343,0.938,251,6.294,0.9995,2,208448.00,0.000000
12,139,106,0,4,51.752,0.375,0.986,518,0.000,0.9999,4,223540.90,0.000000
13,139,133,0,10,11.750,0.443,0.900,975,6.741,0.9997,1,44328.50,0.000000
14,139,137,0,18,85.564,0.312,0.943,534,0.357,0.9999,4,80242.40,0.000000
15,139,132,0,15,31.084,0.428,0.915,848,0.342,0.9998,3,22748.40,0.000000
16,139,132,0,16,72.434,0.161,0.969,1187,0.054,0.9999,4,59819.60,0.000000
17,139,134,0,19,56.909,0.314,0.975,1105,0.138,1.0000,5,49398.40,0.000000
18,139,135,0,13,26.807,1.042,0.917,896,2.553,0.9999,4,23066.00,0.000000
19,139,122,0,11,78.298,0.051,1.000,551,0.581,0.9998,3,42400.40,0.000000
20,139,118,0,12,10.398,0.478,0.885,507,2.294,0.9997,2,57549.60,0.000000
21,139,126,0,14,58.976,0.451,0.950,495,0.353,0.9999,4,141028.90,0.000000
22,139,129,0,15,81.050,0.711,0.917,694,0.149,0.9999,5,57754.40,0.000000
23,139,134,0,19,44.509,0.013,1.000,839,2.779,0.9997,1,48811.60,0.000000
24,139,120,0,14,18.626,0.060,1.000,870,0.993,0.9998,2,102820.40,0.000000
25,139,132,0,13,98.253,0.336,0.955,616,1.726,0.9996,2,121876.10,0.000000
26,139,116,0,15,95.742,0.770,0.923,352,1.751,0.9998,2,113450.10,0.000000
27,139,134,1,19,27.993,0.344,0.951,338,0.306,0.9999,5,70989.60,0.003000
28,139,114,0,12,30.310,0.499,0.960,1198,0.008,0.9999,5,41112.90,0.000000
29,139,132,0,19,60.060,0.332,0.951,890,0.014,1.0000,5,40866.00,0.000000
30,139,138,0,6,91.106,1.487,0.846,1130,0.386,0.9997,3,11508.10,0.000000
31,139,132,0,12,44.551,0.357,0.886,1172,17.351,0.9997,4,25595.60,0.000000
32,139,128,0,16,55.013,0.466,0.908,526,0.016,0.9999,5,59582.10,0.000000
33,139,137,0,6,63.100,0.064,0.938,450,0.383,0.9998,4,9678.40,0.000000
34,139,135,0,16,71.244,0.489,0.815,601,0.608,0.9997,3,7492.50,0.000000
35,139,133,0,14,83.977,0.265,0.948,725,1.760,0.9999,5,25774.10,0.000000
36,139,128,0,18,37.122,0.331,0.959,676,4.335,0.9996,1,93339.60,0.000000
37,139,100,1,6,38.719,0.167,0.943,594,0.162,0.9996,2,16246.00,-0.001200
38,139,129,0,21,36.428,0.069,0.992,847,3.079,0.9999,3,541202.00,0.000000
39,139,127,0,17,79.144,0.342,0.923,865,0.971,0.9998,3,32074.10,0.000000
40,139,134,0,18,86.750,0.658,0.917,705,0.100,0.9998,3,41208.50,0.000000
41,139,138,0,15,71.627,0.465,0.929,572,0.145,0.9999,4,21036.10,0.000000
42,139,137,0,14,74.361,0.363,0.965,629,0.133,0.9999,5,23965.60,0.000000
43,139,136,1,21,95.897,0.487,0.960,254,1.756,0.9999,5,14304.90,0.003200
44,139,136,0,11,32.033,0.147,0.967,250,0.016,0.9997,3,76456.90,0.000000
45,139,136,0,18,35.040,0.819,0.928,535,0.231,0.9999,4,88320.00,0.000000
46,139,131,0,18,25.747,0.023,1.000,523,0.058,0.9998,5,29692.00,0.000000
47,139,122,0,12,75.452,0.174,0.983,700,0.170,0.9998,3,37079.60,0.000000
48,139,128,0,15,60.971,0.002,1.000,466,0.000,0.9998,5,11346.50,0.000000
49,139,134,0,18,30.696,0.002,1.000,943,0.092,0.9995,3,12942.40,0.000000
50,139,130,0,15,8.389,0.001,1.000,549,0.033,0.9999,3,129564.40,0.000000
51,139,138,0,10,91.538,0.513,0.963,406,3.908,0.9999,4,51940.90,0.000000
52,139,126,0,8,23.774,0.422,0.960,504,15.285,0.9990,1,100201.60,0.000000
53,139,136,0,14,31.999,1.037,0.859,803,12.928,0.9997,2,31350.00,0.000000
54,139,125,0,9,49.329,0.823,0.899,469,1.215,0.9996,1,84388.40,0.000000
55,139,137,0,15,70.957,0.271,0.989,389,0.027,1.0000,5,183012.10,0.000000
56,139,124,0,16,15.053,0.722,0.881,429,0.657,0.9999,4,19722.90,0.000000
57,139,135,0,9,72.543,0.577,0.870,789,0.673,0.9999,5,20598.00,0.000000
58,139,77,0,12,52.891,0.032,1.000,488,0.205,0.9999,5,147194.00,0.000000
59,139,138,0,19,4.101,0.109,0.976,1161,0.880,0.9999,5,17494.00,0.000000
60,139,137,0,20,33.101,1.065,0.877,1189,3.808,0.9996,2,14008.50,0.000000
61,139,134,0,14,50.279,0.019,1.000,1107,3.942,0.9999,5,86826.90,0.000000
62,139,138,1,16,72.393,0.135,0.917,217,0.916,0.9996,1,5564.10,0.000400
63,139,135,0,9,93.933,0.256,0.937,292,0.363,0.9999,5,37212.50,0.000000
64,139,130,0,17,70.270,0.513,0.918,287,1.977,0.9998,3,63318.40,0.000000
65,139,119,0,11,96.271,0.441,0.942,240,0.861,0.9996,1,96534.40,0.000000
66,139,125,0,16,37.058,0.443,0.917,695,12.443,0.9992,1,78542.90,0.000000
67,139,122,0,12,61.931,0.501,0.903,587,1.636,0.9997,1,6426.10,0.000000
68,139,133,0,18,74.585,0.484,0.800,758,1.880,0.9996,2,5704.10,0.000000
69,139,136,0,20,27.168,0.065,0.952,695,0.108,0.9997,4,7428.00,0.000000
70,139,116,0,11,87.265,0.336,0.950,993,1.275,0.9998,3,50551.60,0.000000
71,139,135,0,16,9.388,0.204,0.961,579,0.226,0.9998,3,36013.60,0.000000
72,139,138,0,21,12.519,0.684,0.930,415,19.583,0.9998,3,11676.40,0.000000
73,139,130,1,9,20.828,0.000,1.000,277,0.000,0.9999,4,133690.50,-0.000500
74,139,138,0,16,67.163,0.265,0.968,1162,0.026,0.9999,5,105848.00,0.000000
75,139,120,0,15,19.736,0.034,1.000,530,1.255,0.9993,1,51562.40,0.000000
76,139,123,0,8,18.008,0.046,0.989,963,0.336,0.9999,5,411810.90,0.000000
77,139,126,1,21,37.291,0.721,0.904,796,3.951,0.9994,1,23404.90,0.000300
78,139,133,0,9,76.572,0.001,1.000,972,0.491,0.9997,2,10772.10,0.000000
79,139,136,0,14,70.956,0.413,0.900,1134,0.063,0.9999,5,4858.50,0.000000
80,139,126,0,8,40.278,0.103,0.969,539,0.000,0.9990,5,98554.10,0.000000
81,139,134,0,13,69.879,0.041,0.985,301,0.049,0.9999,4,71218.40,0.000000
82,139,135,1,13,13.853,0.443,0.941,319,0.313,0.9999,3,56507.60,-0.001300
83,139,127,0,9,44.833,0.182,0.971,831,1.602,0.9999,4,31754.90,0.000000
84,139,115,0,8,5.355,0.239,0.965,1175,0.230,0.9998,2,19099.60,0.000000
85,139,130,0,12,8.752,0.185,0.984,912,0.229,0.9999,3,42070.90,0.000000
86,139,131,0,17,88.810,1.060,0.882,946,1.113,0.9992,1,32258.50,0.000000
87,139,133,0,10,73.343,0.048,0.967,804,0.161,0.9997,3,22446.40,0.000000
88,139,138,0,23,33.498,0.003,1.000,1128,0.039,0.9993,1,114172.00,0.000000
89,139,113,0,14,33.686,0.222,0.978,551,0.005,0.9997,1,77270.90,0.000000
90,139,136,0,11,70.975,0.388,0.955,850,1.623,0.9994,1,67758.40,0.000000
91,139,137,0,11,57.444,0.826,0.897,988,3.542,0.9999,4,77541.60,0.000000
92,139,135,0,16,60.180,0.189,0.980,461,1.517,0.9997,1,167480.90,0.000000
93,139,125,0,14,50.108,0.031,0.970,1091,0.616,0.9998,3,10050.10,0.000000
94,139,138,0,19,98.165,0.528,0.985,495,0.087,0.9996,1,75362.40,0.000000
95,139,90,0,6,70.006,0.184,0.900,272,3.651,0.9993,3,31153.60,0.000000
96,139,133,1,14,12.264,0.877,0.885,918,7.466,0.9998,2,39949.60,-0.001700
97,139,137,0,16,96.714,0.189,0.958,804,2.387,0.9996,2,60345.60,0.000000
98,139,119,0,7,15.298,0.080,0.982,485,0.028,0.9999,5,60276.40,0.000000
99,139,128,0,13,67.656,0.643,0.883,960,1.393,0.9997,2,71710.40,0.000000
