client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,pcdi,contribution
69,16,9,0,1,93.063,0.217,0.810,236,0.700,0.9995,3,7428.00,0.000000
70,16,6,1,1,45.681,0.868,0.867,1098,1.229,0.9996,1,50551.60,0.004300
71,16,13,0,2,56.330,0.318,0.941,1125,3.332,0.9998,3,36013.60,0.000000
72,16,10,0,1,66.226,1.536,0.719,477,17.655,0.9992,2,11676.40,0.000000
73,16,10,0,1,23.370,0.003,1.000,859,0.000,0.9995,2,133690.50,0.000000
74,16,12,0,2,29.023,0.476,0.935,1137,4.582,0.9999,4,105848.00,0.000000
75,16,11,0,2,21.625,0.035,1.000,1040,0.746,0.9999,5,51562.40,0.000000
76,16,8,0,1,99.465,0.112,0.989,589,1.921,0.9999,5,411810.90,0.000000
77,16,11,0,2,40.254,1.185,0.731,457,4.560,0.9993,1,23404.90,0.000000
78,16,14,0,2,7.289,0.146,0.912,694,2.292,0.9996,2,10772.10,0.000000
79,16,8,0,1,72.636,0.354,0.867,524,2.690,0.9995,1,4858.50,0.000000
80,16,13,0,2,2.332,0.212,0.953,876,0.021,0.9999,5,98554.10,0.000000
81,16,9,0,1,47.133,0.306,0.956,373,4.633,0.9997,5,71218.40,0.000000
82,16,8,0,1,87.425,0.514,0.971,913,0.426,0.9998,2,56507.60,0.000000
83,16,8,0,1,6.956,0.720,0.900,1040,3.498,0.9998,2,31754.90,0.000000
84,16,14,0,2,95.740,0.460,0.895,338,9.127,0.9999,4,19099.60,0.000000
85,16,12,0,2,89.233,0.413,0.887,529,1.320,0.9999,3,42070.90,0.000000
86,16,15,0,2,8.545,1.707,0.725,1194,6.155,0.9996,2,32258.50,0.000000
87,16,15,0,2,36.658,0.068,1.000,880,2.712,0.9998,3,22446.40,0.000000
88,16,13,0,2,62.004,0.004,1.000,1047,0.031,0.9998,2,114172.00,0.000000
89,16,8,0,1,64.950,0.429,0.955,834,0.001,0.9999,2,77270.90,0.000000
90,16,9,0,1,23.565,0.491,0.909,409,4.091,0.9997,3,67758.40,0.000000
91,16,13,0,2,98.413,1.143,0.859,436,2.859,0.9998,2,77541.60,0.000000
92,16,6,1,1,62.008,0.532,0.939,506,3.607,0.9998,1,167480.90,0.010100
93,16,12,0,2,7.986,0.705,0.970,926,2.261,0.9997,4,10050.10,0.000000
94,16,9,0,1,24.025,2.189,0.912,267,0.087,0.9997,4,75362.40,0.000000
95,16,9,0,1,82.311,1.029,0.800,876,1.578,0.9995,4,31153.60,0.000000
96,16,6,1,1,11.121,1.810,0.787,362,7.844,0.9999,4,39949.60,-0.001500
97,16,6,1,1,28.875,0.496,0.917,506,5.021,0.9999,5,60345.60,0.017100
98,16,15,0,2,83.097,0.179,0.982,771,0.242,0.9999,5,60276.40,0.000000
99,16,13,0,2,25.549,0.586,0.900,865,3.012,0.9999,4,71710.40,0.000000
