client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,pcdi,contribution
0,145,134,0,11,95.458,0.875,0.909,577,1.986,0.9996,1,141432.90,0.000000
1,145,117,0,18,43.221,0.011,1.000,1066,0.002,0.9998,5,7276.00,0.000000
2,145,140,0,13,58.885,0.113,0.981,993,0.009,1.0000,4,209403.60,0.000000
3,145,141,0,11,97.978,0.001,1.000,936,0.261,0.9999,4,49831.60,0.000000
4,145,127,0,12,74.402,0.042,1.000,387,1.168,0.9996,1,15392.10,0.000000
5,145,139,0,12,46.445,0.141,0.967,894,0.000,0.9999,4,54790.50,0.000000
6,145,144,0,19,71.329,0.659,0.860,1121,0.001,0.9996,3,37796.10,0.000000
7,145,144,0,16,58.722,0.009,1.000,872,0.362,0.9998,3,12127.60,0.000000
8,145,129,0,12,82.660,1.675,0.910,1017,0.000,0.9999,4,99152.90,0.000000
9,145,138,1,16,60.517,0.130,0.988,617,0.984,1.0000,4,133986.10,-0.000200
10,145,143,0,11,94.238,0.151,0.971,565,0.590,0.9998,5,10212.90,0.000000
11,145,143,0,15,94.755,0.675,0.969,538,0.001,0.9985,1,208448.00,0.000000
12,145,106,0,4,51.752,0.375,0.986,518,0.000,0.9999,4,223540.90,0.000000
13,145,133,0,10,11.750,0.443,0.900,975,6.741,0.9997,1,44328.50,0.000000
14,145,142,0,19,16.306,0.430,0.925,204,1.580,0.9999,3,80242.40,0.000000
15,145,132,0,15,31.084,0.428,0.915,848,0.342,0.9998,3,22748.40,0.000000
16,145,143,0,18,86.317,0.178,0.984,1179,15.629,0.9996,2,59819.60,0.000000
17,145,141,0,20,45.342,0.175,0.988,245,2.576,0.9997,1,49398.40,0.000000
18,145,140,0,14,85.753,0.726,0.896,1074,3.754,0.9993,1,23066.00,0.000000
19,145,144,0,12,30.490,0.059,0.983,1019,1.046,0.9996,1,42400.40,0.000000
20,145,118,0,12,10.398,0.478,0.885,507,2.294,0.9997,2,57549.60,0.000000
21,145,126,0,14,58.976,0.451,0.950,495,0.353,0.9999,4,141028.90,0.000000
22,145,129,0,15,81.050,0.711,0.917,694,0.149,0.9999,5,57754.40,0.000000
23,145,134,0,19,44.509,0.013,1.000,839,2.779,0.9997,1,48811.60,0.000000
24,145,142,0,15,93.514,0.239,0.941,1120,0.018,0.9998,5,102820.40,0.000000
25,145,132,0,13,98.253,0.336,0.955,616,1.726,0.9996,2,121876.10,0.000000
26,145,116,0,15,95.742,0.770,0.923,352,1.751,0.9998,2,113450.10,0.000000
27,145,139,0,20,27.993,0.393,0.988,586,0.007,0.9999,5,70989.60,0.000000
28,145,142,0,14,39.465,0.442,0.960,1116,0.070,0.9996,1,41112.90,0.000000
29,145,132,0,19,60.060,0.332,0.951,890,0.014,1.0000,5,40866.00,0.000000
30,145,143,0,7,65.656,1.396,0.846,839,9.126,0.9992,1,11508.10,0.000000
31,145,143,0,13,17.872,0.262,0.886,1044,4.234,0.9993,1,25595.60,0.000000
32,145,128,0,16,55.013,0.466,0.908,526,0.016,0.9999,5,59582.10,0.000000
33,145,137,0,6,63.100,0.064,0.938,450,0.383,0.9998,4,9678.40,0.000000
34,145,135,0,16,71.244,0.489,0.815,601,0.608,0.9997,3,7492.50,0.000000
35,145,133,0,14,83.977,0.265,0.948,725,1.760,0.9999,5,25774.10,0.000000
36,145,128,0,18,37.122,0.331,0.959,676,4.335,0.9996,1,93339.60,0.000000
37,145,139,0,7,38.719,0.230,0.943,634,2.799,0.9996,2,16246.00,0.000000
38,145,129,1,21,75.949,0.069,0.992,847,3.079,0.9999,2,541202.00,-0.006400
39,145,142,0,18,62.981,0.712,0.892,688,0.301,0.9999,5,32074.10,0.000000
40,145,134,0,18,86.750,0.658,0.917,705,0.100,0.9998,3,41208.50,0.000000
41,145,138,0,15,71.627,0.465,0.929,572,0.145,0.9999,4,21036.10,0.000000
42,145,137,0,14,74.361,0.363,0.965,629,0.133,0.9999,5,23965.60,0.000000
43,145,142,0,23,2.746,0.579,0.940,895,0.017,0.9995,2,14304.90,0.000000
44,145,142,0,12,17.265,0.066,0.967,514,1.145,0.9998,4,76456.90,0.000000
45,145,136,0,18,35.040,0.819,0.928,535,0.231,0.9999,4,88320.00,0.000000
46,145,131,0,18,25.747,0.023,1.000,523,0.058,0.9998,5,29692.00,0.000000
47,145,140,0,13,82.532,0.160,0.933,1185,4.107,0.9997,3,37079.60,0.000000
48,145,128,0,15,60.971,0.002,1.000,466,0.000,0.9998,5,11346.50,0.000000
49,145,134,0,18,30.696,0.002,1.000,943,0.092,0.9995,3,12942.40,0.000000
50,145,140,0,16,1.619,0.000,1.000,291,0.478,0.9995,2,129564.40,0.000000
51,145,141,0,11,35.363,0.484,0.938,729,3.152,0.9998,2,51940.90,0.000000
52,145,142,0,9,10.213,0.753,0.907,1002,0.758,0.9997,3,100201.60,0.000000
53,145,136,0,14,31.999,1.037,0.859,803,12.928,0.9997,2,31350.00,0.000000
54,145,125,0,9,49.329,0.823,0.899,469,1.215,0.9996,1,84388.40,0.000000
55,145,140,0,16,27.629,0.295,0.989,1139,0.030,1.0000,5,183012.10,0.000000
56,145,144,0,17,93.687,0.689,0.925,458,1.154,0.9999,3,19722.90,0.000000
57,145,144,1,11,32.601,0.559,0.889,816,0.312,0.9996,2,20598.00,0.000100
58,145,143,0,13,15.594,0.019,1.000,697,0.168,0.9999,5,147194.00,0.000000
59,145,144,0,20,13.808,0.107,0.976,643,0.102,0.9999,4,17494.00,0.000000
60,145,137,0,20,33.101,1.065,0.877,1189,3.808,0.9996,2,14008.50,0.000000
61,145,140,0,15,23.010,0.049,1.000,909,2.095,0.9999,5,86826.90,0.000000
62,145,139,0,17,72.393,0.127,0.917,343,1.747,0.9996,1,5564.10,0.000000
63,145,135,0,9,93.933,0.256,0.937,292,0.363,0.9999,5,37212.50,0.000000
64,145,144,0,19,31.127,0.458,0.890,630,2.524,0.9997,2,63318.40,0.000000
65,145,140,0,12,65.629,0.270,0.957,260,0.415,0.9999,3,96534.40,0.000000
66,145,125,0,16,37.058,0.443,0.917,695,12.443,0.9992,1,78542.90,0.000000
67,145,122,0,12,61.931,0.501,0.903,587,1.636,0.9997,1,6426.10,0.000000
68,145,141,0,19,43.123,0.330,0.867,1098,0.959,0.9997,2,5704.10,0.000000
69,145,136,1,20,81.568,0.065,0.952,695,0.108,0.9995,2,7428.00,0.000800
70,145,116,0,11,87.265,0.336,0.950,993,1.275,0.9998,3,50551.60,0.000000
71,145,135,1,16,70.478,0.204,0.961,579,0.226,0.9999,4,36013.60,0.000200
72,145,144,0,22,42.558,0.584,0.930,1034,0.004,0.9999,5,11676.40,0.000000
73,145,139,0,10,20.828,0.001,1.000,700,0.000,0.9999,4,133690.50,0.000000
74,145,141,0,18,70.240,0.215,0.984,864,2.299,0.9999,3,105848.00,0.000000
75,145,120,0,15,19.736,0.034,1.000,530,1.255,0.9993,1,51562.40,0.000000
76,145,123,1,8,22.857,0.046,0.989,963,0.336,0.9991,1,411810.90,0.007500
77,145,140,1,23,89.806,0.634,0.885,1117,0.894,0.9998,3,23404.90,0.001800
78,145,143,0,10,41.844,0.003,1.000,390,4.711,0.9993,1,10772.10,0.000000
79,145,136,1,14,40.830,0.413,0.900,1134,0.063,0.9999,4,4858.50,0.002900
80,145,126,0,8,40.278,0.103,0.969,539,0.000,0.9990,5,98554.10,0.000000
81,145,134,0,13,69.879,0.041,0.985,301,0.049,0.9999,4,71218.40,0.000000
