client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,pcdi,contribution
0,61,58,0,7,47.828,1.207,0.875,992,1.189,0.9999,3,141432.90,0.000000
1,61,55,0,8,39.926,0.028,1.000,275,0.015,0.9998,5,7276.00,0.000000
2,61,48,0,5,88.257,0.241,0.981,232,0.424,0.9999,4,209403.60,0.000000
3,61,27,0,3,50.292,0.015,1.000,745,0.498,0.9998,2,49831.60,0.000000
4,61,33,0,4,68.799,0.086,0.969,270,1.303,0.9996,3,15392.10,0.000000
5,61,20,0,2,82.795,0.687,0.867,631,0.111,0.9981,2,54790.50,0.000000
6,61,55,0,6,68.008,0.666,0.860,555,4.731,0.9995,2,37796.10,0.000000
7,61,60,0,5,84.711,0.020,1.000,407,1.577,0.9999,4,12127.60,0.000000
8,61,55,0,7,36.812,1.246,0.925,303,0.001,0.9998,3,99152.90,0.000000
9,61,59,0,6,93.154,0.078,0.988,496,2.969,0.9999,3,133986.10,0.000000
10,61,51,0,5,62.467,0.264,0.941,478,1.454,0.9998,4,10212.90,0.000000
11,61,49,0,7,53.464,0.587,0.923,607,0.003,0.9999,4,208448.00,0.000000
12,61,16,0,2,79.630,0.364,0.972,214,0.000,0.9998,3,223540.90,0.000000
13,61,43,0,5,15.200,0.633,0.900,337,2.102,0.9999,4,44328.50,0.000000
14,61,60,0,6,11.763,0.425,0.925,344,2.187,0.9998,2,80242.40,0.000000
15,61,57,0,8,51.772,0.970,0.915,251,0.005,0.9999,5,22748.40,0.000000
16,61,58,0,8,32.669,0.169,0.953,271,0.002,0.9999,5,59819.60,0.000000
17,61,59,0,9,2.131,0.321,0.975,321,0.560,0.9999,3,49398.40,0.000000
18,61,48,0,5,78.411,1.102,0.875,647,1.693,0.9996,2,23066.00,0.000000
19,61,59,1,5,0.158,0.271,0.950,658,3.430,0.9994,1,42400.40,0.002500
20,61,60,0,7,53.456,0.681,0.852,225,5.673,0.9999,4,57549.60,0.000000
21,61,59,0,7,9.996,0.611,0.963,954,2.573,0.9999,3,141028.90,0.000000
22,61,50,0,8,76.057,0.627,0.917,992,3.477,0.9999,4,57754.40,0.000000
23,61,55,0,6,72.283,0.084,0.982,1041,1.479,0.9999,4,48811.60,0.000000
24,61,53,0,8,55.903,0.084,0.985,450,5.194,0.9998,3,102820.40,0.000000
25,61,46,0,5,27.383,0.266,0.924,395,2.764,0.9998,3,121876.10,0.000000
26,61,44,0,8,54.294,0.552,0.934,613,1.474,0.9999,5,113450.10,0.000000
27,61,54,0,6,61.354,0.629,0.951,984,26.116,0.9994,1,70989.60,0.000000
28,61,17,1,2,32.432,0.683,0.933,889,5.061,0.9997,2,41112.90,0.000800
29,61,58,0,8,36.052,0.421,0.951,526,0.019,0.9999,3,40866.00,0.000000
30,61,24,0,3,54.833,2.987,0.744,506,0.305,0.9996,5,11508.10,0.000000
31,61,60,0,6,19.297,0.329,0.829,1093,0.164,0.9992,1,25595.60,0.000000
32,61,39,1,8,13.251,0.530,0.923,393,0.651,0.9999,3,59582.10,0.002100
33,61,20,0,2,40.106,0.180,0.875,331,10.013,0.9998,5,9678.40,0.000000
34,61,56,0,9,67.235,0.347,0.852,1169,3.062,0.9995,1,7492.50,0.000000
35,61,59,0,6,57.929,0.316,0.948,883,0.585,0.9999,4,25774.10,0.000000
36,61,51,0,13,78.367,0.657,0.932,664,0.673,0.9999,4,93339.60,0.000000
37,61,22,0,3,99.530,0.625,0.887,235,1.619,0.9999,4,16246.00,0.000000
38,61,53,0,12,73.541,0.123,0.992,1006,0.414,0.9998,2,541202.00,0.000000
39,61,57,0,9,15.780,0.646,0.908,389,2.575,0.9998,3,32074.10,0.000000
40,61,55,1,9,32.171,0.677,0.867,267,0.293,0.9999,5,41208.50,-0.002200
41,61,56,0,6,57.618,0.216,0.952,752,0.649,0.9996,1,21036.10,0.000000
42,61,46,1,4,30.266,0.292,0.947,646,0.178,0.9999,3,23965.60,0.001100
43,61,59,0,6,5.612,0.722,0.900,218,0.090,0.9999,4,14304.90,0.000000
44,61,56,0,6,46.062,0.104,0.983,901,5.688,0.9998,3,76456.90,0.000000
45,61,55,0,8,45.277,0.679,0.957,759,3.293,0.9997,2,88320.00,0.000000
46,61,59,0,7,18.405,0.065,0.973,667,1.034,0.9991,1,29692.00,0.000000
47,61,55,0,8,51.947,0.118,0.983,652,0.191,0.9996,2,37079.60,0.000000
48,61,54,1,5,56.497,0.006,1.000,828,1.325,0.9995,4,11346.50,-0.001300
49,61,56,0,8,55.783,0.025,1.000,980,1.527,0.9994,3,12942.40,0.000000
50,61,58,0,6,94.141,0.000,1.000,491,0.051,0.9997,2,129564.40,0.000000
51,61,19,0,2,3.540,1.245,0.901,353,4.440,0.9999,3,51940.90,0.000000
52,61,57,0,4,91.513,0.777,0.867,585,1.989,0.9998,3,100201.60,0.000000
53,61,40,0,6,97.995,1.019,0.844,1032,14.739,0.9998,2,31350.00,0.000000
54,61,37,0,4,55.014,1.190,0.873,707,3.348,0.9995,1,84388.40,0.000000
55,61,48,0,7,58.922,0.320,0.967,968,0.724,0.9999,3,183012.10,0.000000
56,61,56,1,6,35.420,0.552,0.910,256,4.842,0.9996,1,19722.90,0.004300
