client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,pcdi,contribution
0,96,84,0,9,46.510,0.951,0.898,297,3.351,0.9997,1,141432.90,0.000000
1,96,95,0,13,59.739,0.004,1.000,683,0.078,0.9997,3,7276.00,0.000000
2,96,48,0,5,88.257,0.241,0.981,232,0.424,0.9999,4,209403.60,0.000000
3,96,91,0,8,18.326,0.005,1.000,221,0.115,0.9999,5,49831.60,0.000000
4,96,80,0,5,73.646,0.043,1.000,756,0.235,0.9995,3,15392.10,0.000000
5,96,92,0,4,47.921,0.185,0.967,869,0.018,0.9993,1,54790.50,0.000000
6,96,93,0,10,32.717,0.320,0.930,890,8.819,0.9996,1,37796.10,0.000000
7,96,85,0,8,7.747,0.015,1.000,1165,2.804,0.9996,1,12127.60,0.000000
8,96,84,0,10,8.223,2.136,0.881,260,0.000,0.9991,1,99152.90,0.000000
9,96,93,0,9,18.545,0.153,0.975,699,0.712,0.9999,3,133986.10,0.000000
10,96,84,0,9,22.934,0.230,0.912,688,3.373,0.9996,1,10212.90,0.000000
11,96,95,0,11,51.854,0.399,0.954,782,0.478,0.9999,5,208448.00,0.000000
12,96,90,0,3,80.757,0.232,0.986,578,0.037,0.9997,2,223540.90,0.000000
13,96,88,0,8,8.771,0.540,0.925,1001,1.732,0.9997,1,44328.50,0.000000
14,96,87,0,10,87.223,0.307,0.925,271,0.364,0.9998,2,80242.40,0.000000
15,96,91,0,12,35.681,0.511,0.936,471,0.190,0.9997,2,22748.40,0.000000
16,96,93,0,14,19.926,0.108,0.984,582,0.016,0.9997,2,59819.60,0.000000
17,96,93,0,12,78.645,0.316,0.963,448,2.629,0.9996,1,49398.40,0.000000
18,96,83,0,8,91.910,0.949,0.917,771,2.642,0.9997,2,23066.00,0.000000
19,96,67,0,8,25.773,0.163,0.967,1152,2.668,0.9997,2,42400.40,0.000000
20,96,82,0,10,33.341,0.678,0.869,391,14.680,0.9996,2,57549.60,0.000000
21,96,78,0,10,86.671,0.571,0.950,289,5.791,0.9999,3,141028.90,0.000000
22,96,91,0,11,54.636,0.727,0.933,739,2.223,0.9998,3,57754.40,0.000000
23,96,78,0,9,53.377,0.020,1.000,1176,1.714,0.9999,4,48811.60,0.000000
24,96,86,0,12,10.173,0.067,1.000,543,0.015,1.0000,4,102820.40,0.000000
25,96,95,0,8,72.176,0.106,0.970,717,1.763,0.9998,2,121876.10,0.000000
26,96,90,0,12,37.370,0.834,0.923,374,2.002,0.9999,3,113450.10,0.000000
27,96,95,0,14,50.703,0.385,0.963,810,0.002,0.9990,1,70989.60,0.000000
28,96,93,1,6,14.776,0.446,0.933,383,6.378,0.9997,1,41112.90,0.000100
29,96,82,0,11,43.686,0.469,0.927,1010,1.215,0.9995,1,40866.00,0.000000
30,96,92,0,4,66.894,1.806,0.846,366,5.003,0.9991,1,11508.10,0.000000
31,96,80,0,9,41.305,0.405,0.857,631,2.237,0.9990,5,25595.60,0.000000
32,96,76,0,12,31.415,0.685,0.923,1040,5.113,0.9999,4,59582.10,0.000000
33,96,20,0,2,40.106,0.180,0.875,331,10.013,0.9998,5,9678.40,0.000000
34,96,95,0,14,3.795,0.426,0.815,819,3.661,0.9996,2,7492.50,0.000000
35,96,70,0,8,19.672,0.216,0.948,1104,2.499,0.9999,3,25774.10,0.000000
36,96,83,0,16,27.339,0.310,0.973,620,2.695,0.9996,1,93339.60,0.000000
37,96,94,0,5,23.167,0.254,0.962,460,0.884,0.9997,3,16246.00,0.000000
38,96,74,0,17,72.135,0.126,0.985,855,0.012,1.0000,4,541202.00,0.000000
39,96,74,0,10,42.248,0.738,0.892,262,4.195,0.9995,1,32074.10,0.000000
40,96,72,0,12,90.273,0.645,0.900,895,0.008,0.9996,1,41208.50,0.000000
41,96,62,1,7,26.173,0.309,0.929,262,2.052,0.9995,1,21036.10,0.004300
42,96,94,0,9,15.505,0.375,0.965,584,0.410,0.9999,3,23965.60,0.000000
43,96,94,0,11,99.469,0.582,0.920,520,0.004,0.9999,4,14304.90,0.000000
44,96,64,0,7,22.863,0.054,0.983,1104,0.944,0.9998,3,76456.90,0.000000
45,96,95,0,13,40.065,0.779,0.942,823,0.063,0.9999,4,88320.00,0.000000
46,96,80,0,12,22.497,0.061,0.973,778,0.058,0.9998,5,29692.00,0.000000
47,96,85,0,9,73.854,0.102,0.983,995,2.854,0.9999,5,37079.60,0.000000
48,96,87,0,10,10.536,0.002,1.000,1021,0.004,0.9997,5,11346.50,0.000000
49,96,95,0,12,59.202,0.010,1.000,216,0.076,0.9996,5,12942.40,0.000000
50,96,83,0,9,89.718,0.003,1.000,930,2.193,0.9993,1,129564.40,0.000000
51,96,90,0,6,71.341,0.722,0.963,280,3.909,0.9999,4,51940.90,0.000000
52,96,82,0,6,20.682,0.663,0.920,829,2.871,0.9991,1,100201.60,0.000000
53,96,89,1,10,91.219,1.101,0.828,706,20.343,0.9999,5,31350.00,0.002600
54,96,88,0,7,79.528,1.334,0.886,989,5.115,0.9999,5,84388.40,0.000000
55,96,93,0,12,73.179,0.217,0.989,1044,0.022,0.9999,3,183012.10,0.000000
56,96,94,0,13,86.524,0.691,0.910,974,5.254,0.9996,1,19722.90,0.000000
57,96,89,0,8,86.108,0.470,0.889,990,4.497,0.9998,3,20598.00,0.000000
58,96,77,0,12,52.891,0.032,1.000,488,0.205,0.9999,5,147194.00,0.000000
59,96,93,0,11,98.429,0.061,0.951,735,0.391,0.9997,2,17494.00,0.000000
60,96,89,0,11,74.194,1.398,0.825,832,0.799,0.9997,3,14008.50,0.000000
61,96,95,1,10,31.977,0.084,0.985,1101,1.031,0.9998,3,86826.90,-0.005000
62,96,93,0,12,8.642,0.130,0.917,736,0.797,0.9997,4,5564.10,0.000000
63,96,80,0,8,38.849,0.311,0.952,1190,1.994,0.9998,3,37212.50,0.000000
64,96,80,0,12,83.297,0.532,0.904,791,2.224,0.9998,3,63318.40,0.000000
65,96,89,0,8,4.431,0.449,0.942,536,1.875,0.9998,2,96534.40,0.000000
66,96,78,0,9,13.740,0.408,0.950,646,7.421,0.9996,2,78542.90,0.000000
67,96,74,1,10,25.772,0.533,0.839,1098,1.327,0.9998,3,6426.10,0.004100
68,96,78,0,13,40.455,0.361,0.867,253,1.665,0.9997,3,5704.10,0.000000
69,96,85,1,15,92.264,0.192,0.905,1184,0.804,0.9995,2,7428.00,0.001100
70,96,81,0,9,20.021,0.463,0.933,323,6.239,0.9997,3,50551.60,0.000000
71,96,88,0,12,60.503,0.213,0.961,447,0.489,0.9994,1,36013.60,0.000000
72,96,90,0,15,96.933,0.523,0.947,248,2.005,0.9999,5,11676.40,0.000000
73,96,92,0,7,82.644,0.039,0.983,465,0.000,0.9991,4,133690.50,0.000000
74,96,94,0,11,81.009,0.226,0.968,665,1.534,0.9999,5,105848.00,0.000000
75,96,90,0,11,80.372,0.016,1.000,936,9.568,0.9999,3,51562.40,0.000000
76,96,58,0,7,83.703,0.049,0.989,554,0.018,0.9999,4,411810.90,0.000000
77,96,90,0,17,34.495,0.649,0.885,350,1.331,0.9999,4,23404.90,0.000000
78,96,94,0,5,67.137,0.017,1.000,1199,0.221,0.9997,3,10772.10,0.000000
79,96,92,1,12,96.108,0.420,0.933,426,2.403,0.9997,1,4858.50,0.002100
80,96,89,0,5,66.840,0.224,0.953,482,0.000,0.9999,5,98554.10,0.000000
81,96,95,0,10,25.272,0.019,1.000,352,0.840,0.9998,2,71218.40,0.000000
82,96,78,0,7,97.224,0.105,0.985,484,0.522,0.9996,1,56507.60,0.000000
83,96,95,0,4,48.250,0.338,0.971,855,2.089,0.9997,2,31754.90,0.000000
84,96,92,0,6,38.989,0.320,0.930,425,0.161,0.9997,2,19099.60,0.000000
85,96,91,0,8,16.814,0.418,0.952,869,2.699,0.9999,4,42070.90,0.000000
86,96,92,1,10,89.231,1.251,0.882,880,3.579,0.9999,5,32258.50,-0.000300
87,96,44,0,5,10.479,0.146,0.933,211,1.460,0.9994,1,22446.40,0.000000
88,96,90,0,13,85.449,0.004,1.000,743,0.072,0.9999,5,114172.00,0.000000
89,96,87,0,11,7.950,0.342,0.944,1020,0.003,0.9997,1,77270.90,0.000000
90,96,91,0,6,51.966,0.222,0.970,632,0.542,0.9996,2,67758.40,0.000000
91,96,92,1,5,27.132,1.273,0.859,262,2.762,0.9994,1,77541.60,0.000500
92,96,91,0,12,76.212,0.116,0.990,636,0.830,1.0000,5,167480.90,0.000000
93,96,92,0,9,90.824,0.010,1.000,659,4.868,0.9997,4,10050.10,0.000000
94,96,94,0,12,89.053,0.995,0.971,762,9.295,0.9999,3,75362.40,0.000000
95,96,90,0,6,70.006,0.184,0.900,272,3.651,0.9993,3,31153.60,0.000000
96,96,92,0,13,67.696,0.943,0.918,768,0.017,0.9999,4,39949.60,0.000000
97,96,93,1,11,46.866,0.165,0.979,1149,1.080,0.9997,2,60345.60,-0.000200
98,96,53,0,3,94.822,0.177,0.964,490,0.578,0.9998,2,60276.40,0.000000
99,96,89,0,8,0.563,0.748,0.883,1065,1.032,0.9999,4,71710.40,0.000000
