client_id,current_round,last_selected_round,selected,participation,loss,accuracy,data_size,grad_norm,cosine,local_epochs,pcdi,contribution
0,22,18,0,2,0.0653,1.0000,1043,1.9781,0.9982,4.0,807.60,0.000000
1,22,22,1,3,0.2139,0.9643,837,0.4376,0.9999,4.0,362762.10,0.000000
2,22,22,1,3,0.3890,0.9728,233,1.7511,1.0000,5.0,1009004.40,0.020408
3,22,17,0,2,1.5345,0.8750,1109,2.5669,0.9999,4.0,72691.60,0.000000
4,22,18,0,2,0.2530,0.9885,992,1.1643,1.0000,3.0,250508.10,0.000000
5,22,14,0,2,1.7385,0.9623,897,4.2509,1.0000,3.0,2206612.10,0.000000
6,22,14,0,2,0.0192,1.0000,235,5.0053,0.9998,4.0,8927.60,0.000000
7,22,15,0,2,0.0639,0.9600,936,0.0220,0.9995,3.0,21896.40,0.000000
8,22,11,0,2,0.2972,0.9412,660,0.7435,0.9990,4.0,12644.10,0.000000
9,22,13,0,2,0.8289,0.9326,980,0.0026,0.9999,2.0,230758.10,0.000000
10,22,15,0,2,0.1382,0.9846,926,1.2437,0.9996,1.0,193958.10,0.000000
11,22,19,0,2,0.0006,1.0000,342,4.4076,0.9999,5.0,92140.10,0.000000
12,22,17,0,2,0.0941,0.9828,282,0.0584,0.9999,5.0,131754.40,0.000000
13,22,11,0,2,1.9364,0.7439,1153,3.3976,0.9998,3.0,130966.90,0.000000
14,22,15,0,2,0.0531,0.9804,941,0.0000,0.9992,1.0,185576.40,0.000000
15,22,18,0,2,0.0707,0.9744,954,0.0347,0.9999,5.0,47490.10,0.000000
16,22,22,1,3,0.6924,0.9362,1038,1.4884,0.9999,5.0,110630.50,0.042553
17,22,22,1,3,0.9942,0.9174,222,9.7848,0.9998,2.0,497918.50,0.000000
18,22,16,0,2,0.0146,1.0000,492,1.3177,0.9980,1.0,7102.00,0.000000
19,22,18,0,2,0.0105,1.0000,1000,8.5703,0.9995,4.0,3606.10,0.000000
20,22,19,0,2,0.5733,0.6667,274,4.2212,0.9971,2.0,420.90,0.000000
21,22,14,0,2,0.0000,1.0000,920,0.0003,0.9995,1.0,544576.10,0.000000
22,22,16,0,2,0.3681,0.9853,260,0.0053,1.0000,4.0,1404680.40,0.000000
23,22,13,0,2,0.3531,0.8000,1143,3.5373,0.9994,4.0,156.90,0.000000
24,22,21,0,3,0.0312,1.0000,1133,1.6829,0.9942,3.0,88.90,0.000000
25,22,13,0,2,0.2130,0.9333,792,1.1665,0.9994,3.0,6032.10,0.000000
26,22,12,0,2,0.1983,0.8889,473,2.6965,0.9960,1.0,5874.10,0.000000
27,22,21,0,3,0.7396,0.9797,890,0.8467,1.0000,5.0,1296356.50,0.000000
28,22,21,0,3,0.3968,0.9900,355,0.9957,1.0000,4.0,871394.90,0.000000
29,22,22,1,3,0.7218,0.9756,1138,0.0146,0.9988,1.0,418876.00,0.036585
30,22,11,0,2,0.4121,0.9683,1063,3.5366,0.9998,3.0,62202.90,0.000000
31,22,13,0,2,0.0011,1.0000,844,0.6880,0.9999,4.0,104081.60,0.000000
32,22,12,0,2,1.0502,0.9606,770,1.1415,1.0000,5.0,1283527.60,0.000000
33,22,13,0,2,0.3499,0.9231,601,1.9183,0.9993,2.0,4360.90,0.000000
34,22,19,0,2,0.0021,1.0000,850,0.3423,0.9994,3.0,3220.40,0.000000
35,22,17,0,2,0.0000,1.0000,229,4.0140,0.9993,2.0,54667.60,0.000000
36,22,20,0,2,0.1778,0.9783,741,2.1609,0.9999,5.0,120350.40,0.000000
37,22,16,0,2,0.1111,0.9884,276,0.0008,0.9993,1.0,313216.00,0.000000
38,22,15,0,2,0.0581,0.9286,691,1.0156,0.9994,5.0,6574.10,0.000000
39,22,20,0,2,0.0584,0.9583,824,0.8013,0.9998,3.0,12356.90,0.000000
40,22,19,0,2,0.2162,0.9250,658,1.3577,0.9996,2.0,35345.60,0.000000
41,22,16,0,2,0.6547,0.8873,560,3.6550,0.9995,2.0,308862.40,0.000000
42,22,16,0,2,0.0008,1.0000,537,0.0283,0.9999,3.0,586072.40,0.000000
43,22,16,0,2,0.2783,0.9444,1106,2.3115,0.9994,3.0,7547.60,0.000000
44,22,20,0,2,0.0038,1.0000,996,0.1231,0.9994,4.0,3727.60,0.000000
45,22,16,0,2,0.0561,0.9600,318,0.0681,0.9997,4.0,14844.10,0.000000
46,22,21,0,3,0.0131,1.0000,962,0.1164,0.9999,4.0,455431.60,0.000000
47,22,22,1,3,0.7763,0.9549,496,1.6464,0.9999,3.0,192364.40,0.007519
48,22,19,0,2,0.2641,1.0000,889,5.9568,0.9984,1.0,1198.10,0.000000
49,22,21,0,3,0.0145,1.0000,457,2.5073,0.9988,1.0,10162.50,0.000000
50,22,12,0,2,0.3899,0.9333,474,1.1272,0.9998,4.0,45966.40,0.000000
51,22,12,0,2,0.0031,1.0000,649,0.0375,0.9996,1.0,166534.90,0.000000
52,22,22,1,3,0.1248,0.9800,534,0.1145,0.9999,5.0,160380.40,0.000000
53,22,21,0,3,0.0001,1.0000,514,0.0332,0.9985,3.0,6382.10,0.000000
54,22,21,0,3,0.5289,0.9685,542,0.1786,1.0000,4.0,873793.60,0.000000
55,22,17,0,2,0.0434,0.9667,397,0.0362,0.9999,5.0,34780.50,0.000000
56,22,21,0,3,0.1861,0.9756,964,0.5083,0.9998,4.0,31673.60,0.000000
57,22,17,0,2,0.6093,0.9302,329,4.0303,0.9995,1.0,86814.90,0.000000
58,22,15,0,2,0.1128,0.9841,1135,0.1618,0.9998,3.0,139300.90,0.000000
59,22,22,1,3,2.7754,0.8714,399,2.0716,1.0000,5.0,1323814.00,0.070539
60,22,16,0,2,1.6873,0.9091,333,0.0256,0.9995,5.0,3491.60,0.000000
61,22,11,0,2,0.0647,1.0000,952,1.1397,0.9998,2.0,26538.10,0.000000
62,22,12,0,2,0.0516,1.0000,219,1.8080,0.9996,2.0,64246.40,0.000000
63,22,15,0,2,0.7063,0.8704,330,8.4366,0.9995,1.0,49202.10,0.000000
64,22,12,0,2,0.1960,0.9792,950,0.8502,0.9996,2.0,18666.10,0.000000
65,22,20,0,2,0.1991,0.9793,479,0.0000,1.0000,5.0,696318.40,0.000000
66,22,12,0,2,0.9651,0.6667,432,4.1924,0.9974,2.0,134.90,0.000000
67,22,21,0,3,0.0014,1.0000,936,0.0761,0.9989,2.0,26797.60,0.000000
68,22,15,0,2,0.0163,1.0000,226,4.8698,0.9999,5.0,32502.10,0.000000
69,22,12,0,2,2.0102,0.9118,859,3.5556,0.9993,3.0,39250.90,0.000000
70,22,20,0,2,0.4284,0.9474,1192,0.0064,0.9992,1.0,101088.40,0.000000
71,22,19,0,2,0.0021,1.0000,704,0.0041,0.9999,4.0,596094.90,0.000000
72,22,13,0,2,0.0000,1.0000,803,2.5080,0.9993,4.0,13186.90,0.000000
73,22,18,0,2,0.3846,0.9455,767,2.7185,0.9997,2.0,78404.40,0.000000
