client_id,current_round,last_selected_round,selected,participation,loss,accuracy,data_size,grad_norm,cosine,local_epochs,pcdi,contribution
0,38,35,0,3,0.0033,1.0000,880,1.1398,0.9989,3.0,807.60,0.000000
1,38,33,0,5,0.1373,0.9762,910,2.4947,0.9998,3.0,362762.10,0.000000
2,38,22,0,3,0.3890,0.9728,233,1.7511,1.0000,5.0,1009004.40,0.000000
3,38,38,1,4,1.2611,0.9135,1179,3.5479,0.9999,5.0,72691.60,0.057692
4,38,31,0,3,0.1871,0.9885,201,0.0002,1.0000,4.0,250508.10,0.000000
5,38,34,0,5,1.6545,0.9724,313,0.0000,1.0000,5.0,2206612.10,0.000000
6,38,32,0,3,0.0182,1.0000,472,1.0478,0.9995,1.0,8927.60,0.000000
7,38,31,0,3,0.0282,1.0000,581,0.0291,0.9996,5.0,21896.40,0.000000
8,38,29,0,3,0.0317,1.0000,715,0.0188,0.9988,2.0,12644.10,0.000000
9,38,33,0,4,0.5717,0.9438,253,0.0002,1.0000,5.0,230758.10,0.000000
10,38,24,0,3,0.1150,0.9846,330,0.6284,0.9999,4.0,193958.10,0.000000
11,38,19,0,2,0.0006,1.0000,342,4.4076,0.9999,5.0,92140.10,0.000000
12,38,29,0,3,0.1217,0.9655,513,0.1935,0.9999,4.0,131754.40,0.000000
13,38,38,1,6,1.2504,0.8659,848,1.2961,0.9999,3.0,130966.90,-0.012195
14,38,25,0,3,0.0000,1.0000,288,0.0012,0.9999,3.0,185576.40,0.000000
15,38,38,1,3,0.0190,1.0000,1124,0.2319,0.9994,2.0,47490.10,0.025641
16,38,34,0,5,0.8999,0.9574,539,0.1761,0.9999,4.0,110630.50,0.000000
17,38,38,1,7,1.0082,0.9339,626,0.4923,0.9999,4.0,497918.50,-0.008264
18,38,27,0,3,0.0004,1.0000,281,0.5160,0.9995,4.0,7102.00,0.000000
19,38,32,0,3,0.0013,1.0000,745,0.0796,0.9994,3.0,3606.10,0.000000
20,38,36,0,5,0.3231,1.0000,510,3.8233,0.9978,2.0,420.90,0.000000
21,38,37,0,6,0.0000,1.0000,687,0.0000,0.9999,3.0,544576.10,0.000000
22,38,16,0,2,0.3681,0.9853,260,0.0053,1.0000,4.0,1404680.40,0.000000
23,38,32,0,4,0.2202,1.0000,1043,3.3138,0.9989,1.0,156.90,0.000000
24,38,28,0,4,0.0276,1.0000,1134,1.5818,0.9988,4.0,88.90,0.000000
25,38,28,0,3,0.0716,1.0000,1009,1.0336,0.9996,1.0,6032.10,0.000000
26,38,26,0,3,0.0582,1.0000,814,2.4487,0.9960,1.0,5874.10,0.000000
27,38,34,0,5,0.4073,0.9865,1147,0.7804,1.0000,3.0,1296356.50,0.000000
28,38,37,0,5,0.4341,0.9801,539,0.9906,1.0000,3.0,871394.90,0.000000
29,38,33,0,6,0.6119,0.9634,746,0.0051,0.9999,4.0,418876.00,0.000000
30,38,26,0,3,0.2745,0.9524,615,1.4441,0.9997,2.0,62202.90,0.000000
31,38,36,0,4,0.0176,1.0000,688,0.0389,0.9992,1.0,104081.60,0.000000
32,38,32,0,4,1.0031,0.9704,545,3.1987,0.9998,1.0,1283527.60,0.000000
33,38,27,0,3,0.3601,0.9231,336,1.8739,0.9994,4.0,4360.90,0.000000
34,38,28,0,3,0.0018,1.0000,848,0.3227,0.9995,5.0,3220.40,0.000000
35,38,35,0,3,0.0000,1.0000,873,1.4798,0.9994,2.0,54667.60,0.000000
36,38,38,1,3,0.1569,0.9783,820,0.0563,0.9997,3.0,120350.40,0.000000
37,38,34,0,4,0.1228,0.9884,682,3.7660,0.9999,2.0,313216.00,0.000000
38,38,33,0,3,0.0434,1.0000,582,1.3387,0.9982,1.0,6574.10,0.000000
39,38,35,0,3,0.0861,0.9583,804,2.5302,0.9996,1.0,12356.90,0.000000
40,38,32,0,3,0.1199,0.9750,1066,4.6225,0.9995,2.0,35345.60,0.000000
41,38,37,0,5,0.3514,0.9718,437,0.6432,0.9999,4.0,308862.40,0.000000
42,38,33,0,4,0.0024,1.0000,918,0.5865,0.9999,3.0,586072.40,0.000000
43,38,29,0,3,0.2556,0.9444,1038,0.0026,0.9998,4.0,7547.60,0.000000
44,38,37,0,3,0.0872,1.0000,568,1.5277,0.9988,1.0,3727.60,0.000000
45,38,35,0,3,0.1368,0.9600,1002,0.1411,0.9994,2.0,14844.10,0.000000
46,38,36,0,5,0.0016,1.0000,1094,0.0004,0.9999,4.0,455431.60,0.000000
47,38,30,0,4,0.3878,0.9774,354,2.3586,1.0000,5.0,192364.40,0.000000
48,38,38,1,5,0.6520,0.7500,705,0.0189,0.9985,4.0,1198.10,0.000000
49,38,35,0,4,0.0015,1.0000,516,0.2765,0.9998,3.0,10162.50,0.000000
50,38,31,0,3,0.7857,0.9333,514,2.9911,0.9981,1.0,45966.40,0.000000
51,38,32,0,4,0.0028,1.0000,485,0.0077,0.9992,1.0,166534.90,0.000000
52,38,30,0,4,0.0673,0.9800,629,0.0472,0.9999,5.0,160380.40,0.000000
53,38,38,1,4,0.0004,1.0000,908,0.2455,0.9996,4.0,6382.10,0.000000
54,38,21,0,3,0.5289,0.9685,542,0.1786,1.0000,4.0,873793.60,0.000000
55,38,29,0,4,0.0304,1.0000,1015,0.0134,0.9999,5.0,34780.50,0.000000
56,38,28,0,4,0.0578,0.9756,977,0.0785,0.9999,4.0,31673.60,0.000000
57,38,24,0,3,0.2927,0.9535,400,0.0591,0.9999,5.0,86814.90,0.000000
58,38,30,0,4,0.1225,0.9841,574,0.0462,1.0000,5.0,139300.90,0.000000
59,38,36,0,10,2.7736,0.8589,361,3.4941,1.0000,4.0,1323814.00,0.000000
60,38,31,0,3,0.0309,1.0000,759,1.7460,0.9988,1.0,3491.60,0.000000
