client_id,current_round,last_selected_round,selected,participation,loss,accuracy,data_size,grad_norm,cosine,local_epochs,pcdi,contribution
0,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,807.60,0.000000
1,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,362762.10,0.000000
2,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,1009004.40,0.000000
3,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,72691.60,0.000000
4,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,250508.10,0.000000
5,4,4,1,1,1.9399,0.9523,926,26.1071,1.0000,4.0,2206612.10,0.952261
6,4,4,1,1,0.2835,0.9615,229,4.9697,0.9984,1.0,8927.60,0.961538
7,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,21896.40,0.000000
8,4,1,0,1,0.6741,0.7647,870,6.8813,0.9913,4.0,12644.10,0.000000
9,4,3,0,1,2.9935,0.8652,1100,0.7581,0.9994,1.0,230758.10,0.000000
10,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,193958.10,0.000000
11,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,92140.10,0.000000
12,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,131754.40,0.000000
13,4,1,0,1,1.6308,0.8049,748,1.6777,0.9957,5.0,130966.90,0.000000
14,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,185576.40,0.000000
15,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,47490.10,0.000000
16,4,1,0,1,1.2532,0.9043,390,5.1039,0.9988,2.0,110630.50,0.000000
17,4,4,1,1,0.9237,0.9091,507,1.4740,0.9998,2.0,497918.50,0.909091
18,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,7102.00,0.000000
19,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,3606.10,0.000000
20,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,420.90,0.000000
21,4,4,1,1,0.0001,1.0000,325,0.0002,1.0000,5.0,544576.10,1.000000
22,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,1404680.40,0.000000
23,4,3,0,1,0.5926,0.8000,615,9.0513,0.9985,5.0,156.90,0.000000
24,4,4,1,1,0.0008,1.0000,1179,7.6377,0.9905,4.0,88.90,1.000000
25,4,3,0,1,0.0278,1.0000,266,5.5998,0.9988,3.0,6032.10,0.000000
26,4,2,0,1,0.5234,0.8889,531,0.0087,0.9937,4.0,5874.10,0.000000
27,4,3,0,1,0.4231,0.9730,1018,0.8440,0.9999,5.0,1296356.50,0.000000
28,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,871394.90,0.000000
29,4,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,418876.00,0.000000
30,4,1,0,1,0.4830,0.9048,320,2.2404,0.9990,3.0,62202.90,0.000000
31,4,3,0,1,0.0459,0.9821,735,1.6651,0.9997,3.0,104081.60,0.000000
