client_id,current_round,last_selected_round,selected,participation,loss,accuracy,data_size,grad_norm,cosine,local_epochs,pcdi,contribution
0,77,55,0,4,0.0033,1.0000,753,1.6311,0.9995,4.0,807.60,0.000000
1,77,47,0,7,0.2734,0.9762,431,0.0271,0.9999,4.0,362762.10,0.000000
2,77,77,1,6,0.1854,0.9864,1191,0.0207,1.0000,4.0,1009004.40,0.006803
3,77,74,0,9,0.8832,0.9231,390,3.9925,0.9997,1.0,72691.60,0.000000
4,77,60,0,6,0.2303,0.9885,866,0.0081,0.9998,2.0,250508.10,0.000000
5,77,66,0,10,1.4287,0.9673,657,4.6367,0.9999,1.0,2206612.10,0.000000
6,77,73,0,6,0.0195,1.0000,1076,2.8207,0.9996,1.0,8927.60,0.000000
7,77,77,1,10,0.0368,1.0000,571,2.0028,0.9986,1.0,21896.40,0.040000
8,77,74,0,8,0.1844,0.9412,784,6.8252,0.9993,3.0,12644.10,0.000000
9,77,76,0,9,0.4777,0.9551,582,0.0305,0.9997,1.0,230758.10,0.000000
10,77,57,0,6,0.1101,0.9846,736,2.5801,0.9999,4.0,193958.10,0.000000
11,77,58,0,4,0.0006,1.0000,234,3.2669,0.9996,5.0,92140.10,0.000000
12,77,61,0,7,0.1339,0.9655,378,0.0133,0.9993,1.0,131754.40,0.000000
13,77,70,0,12,1.0609,0.9268,450,1.5291,0.9998,2.0,130966.90,0.000000
14,77,65,0,8,0.0352,1.0000,427,0.0001,0.9985,1.0,185576.40,0.000000
15,77,75,0,5,0.0030,1.0000,482,0.0002,0.9999,4.0,47490.10,0.000000
16,77,70,0,8,0.7482,0.9468,1183,3.2917,0.9999,3.0,110630.50,0.000000
17,77,68,0,10,1.0537,0.9339,566,6.1098,1.0000,5.0,497918.50,0.000000
18,77,69,0,6,0.0006,1.0000,374,3.1399,0.9992,3.0,7102.00,0.000000
19,77,75,0,8,0.0252,1.0000,1049,4.3686,0.9992,2.0,3606.10,0.000000
20,77,53,0,7,0.2084,1.0000,1146,1.4385,0.9978,4.0,420.90,0.000000
21,77,63,0,8,0.0001,1.0000,360,0.0028,0.9998,1.0,544576.10,0.000000
22,77,53,0,4,0.3175,0.9804,481,0.5641,1.0000,3.0,1404680.40,0.000000
23,77,69,0,6,0.0144,1.0000,1001,3.8539,0.9990,1.0,156.90,0.000000
24,77,69,0,6,0.0889,1.0000,1144,1.5958,0.9972,5.0,88.90,0.000000
25,77,67,0,5,0.0286,1.0000,880,0.9007,0.9993,1.0,6032.10,0.000000
26,77,58,0,6,0.0984,1.0000,333,1.1591,0.9970,2.0,5874.10,0.000000
27,77,57,0,8,0.3664,0.9865,525,0.0139,0.9997,1.0,1296356.50,0.000000
