id,rnd,last_sel,sel,part,loss,acc,data,grad,cos,ep,pcdi,contrib
0.000000000000000000e+00,1.290000000000000000e+02,1.230000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01,4.358167052268981934e-01,9.038461538461538547e-01,5.550000000000000000e+02,9.581179805779808101e-01,9.997898701273211231e-01,3.000000000000000000e+00,4.514889999999999418e+04,0.000000000000000000e+00
1.000000000000000000e+00,1.290000000000000000e+02,1.250000000000000000e+02,0.000000000000000000e+00,1.300000000000000000e+01,1.893922314047813416e-02,1.000000000000000000e+00,7.330000000000000000e+02,4.135072343551358942e-02,9.997916112778468811e-01,3.000000000000000000e+00,9.002100000000000364e+03,0.000000000000000000e+00
2.000000000000000000e+00,1.290000000000000000e+02,1.210000000000000000e+02,0.000000000000000000e+00,1.400000000000000000e+01,2.484627515077590942e-01,9.200000000000000400e-01,5.740000000000000000e+02,5.310765273502160433e+00,9.993295060373390548e-01,1.000000000000000000e+00,2.312889999999999782e+04,0.000000000000000000e+00
3.000000000000000000e+00,1.290000000000000000e+02,1.170000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+00,5.332591980695724487e-01,8.870967741935483764e-01,8.050000000000000000e+02,1.381797756382733056e+00,9.998490211841659647e-01,4.000000000000000000e+00,4.829439999999999418e+04,0.000000000000000000e+00
4.000000000000000000e+00,1.290000000000000000e+02,1.290000000000000000e+02,1.000000000000000000e+00,1.800000000000000000e+01,3.131371885538101196e-01,9.111111111111110938e-01,4.470000000000000000e+02,3.111394024252524648e+00,9.997076300721157160e-01,3.000000000000000000e+00,6.980399999999999636e+03,3.000000000000779821e-04
5.000000000000000000e+00,1.290000000000000000e+02,1.280000000000000000e+02,0.000000000000000000e+00,8.000000000000000000e+00,1.616536198998801410e-01,9.696969696969697239e-01,1.133000000000000000e+03,3.843324480300363000e+00,9.995204582280619032e-01,2.000000000000000000e+00,9.175640000000000873e+04,0.000000000000000000e+00
6.000000000000000000e+00,1.290000000000000000e+02,1.160000000000000000e+02,0.000000000000000000e+00,1.400000000000000000e+01,7.662545423954725266e-01,9.729729729729730270e-01,8.750000000000000000e+02,1.183485601836595791e+00,9.998614713617003380e-01,2.000000000000000000e+00,3.728890000000000146e+04,0.000000000000000000e+00
7.000000000000000000e+00,1.290000000000000000e+02,1.270000000000000000e+02,0.000000000000000000e+00,1.200000000000000000e+01,3.849189132452011108e-01,9.444444444444444198e-01,1.027000000000000000e+03,5.356410567128341960e+00,9.993651641201791724e-01,1.000000000000000000e+00,6.465160000000000582e+04,0.000000000000000000e+00
8.000000000000000000e+00,1.290000000000000000e+02,1.180000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01,4.045342653989791870e-01,9.180327868852459217e-01,9.600000000000000000e+02,1.079919349008741092e+00,9.998411206077115754e-01,4.000000000000000000e+00,6.952689999999997963e+04,0.000000000000000000e+00
9.000000000000000000e+00,1.290000000000000000e+02,1.230000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01,4.249773472547531128e-01,9.390243902439023849e-01,6.390000000000000000e+02,5.078036038738241054e+00,9.998614203901443620e-01,3.000000000000000000e+00,6.515410000000000582e+04,0.000000000000000000e+00
