client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,92,79,0,10,27.161,0.6549,0.8667,337,4.0549,0.9996,1,0.000000
1,92,55,0,12,28.946,0.2952,0.9333,206,2.5826,0.9999,3,0.000000
2,92,89,0,10,64.687,0.5089,0.9000,980,2.7317,0.9998,4,0.000000
3,92,90,0,9,85.723,0.2792,0.9333,318,3.5936,0.9998,1,0.000000
4,92,85,0,12,62.229,0.6264,0.9000,728,2.3050,0.9998,3,0.000000
5,92,65,0,4,6.043,0.5385,0.9000,537,2.0386,0.9998,3,0.000000
6,92,85,0,7,81.409,0.7475,0.8833,928,1.8395,0.9999,4,0.000000
7,92,59,0,3,54.884,0.3217,0.9167,400,4.8007,0.9996,1,0.000000
8,92,91,0,13,62.697,0.4610,0.9333,797,4.2546,0.9999,4,0.000000
9,92,85,1,11,2.485,0.5223,0.8833,868,1.0162,0.9999,4,0.000100
10,92,89,1,10,45.253,0.6492,0.9333,1108,0.6721,0.9998,3,-0.000300
11,92,84,0,10,44.290,0.6166,0.8833,1022,1.5894,0.9996,2,0.000000
12,92,89,0,10,48.908,0.8383,0.9000,270,1.2935,0.9998,3,0.000000
13,92,34,0,3,58.025,0.6050,0.9000,514,2.2390,0.9997,2,0.000000
14,92,91,0,15,6.612,0.8820,0.9167,835,3.8664,0.9997,2,0.000000
15,92,83,0,11,81.363,0.8739,0.9000,313,0.5250,0.9997,2,0.000000
16,92,86,0,5,40.019,0.2116,0.9333,584,2.8453,0.9998,3,0.000000
17,92,64,0,3,51.109,0.5879,0.8833,724,1.9376,0.9999,4,0.000000
18,92,90,0,13,85.515,0.3977,0.9333,1054,3.9149,0.9999,3,0.000000
19,92,79,0,12,21.092,0.2811,0.9667,997,2.3504,0.9999,5,0.000000
20,92,85,0,10,80.349,0.5854,0.8833,281,2.0014,0.9999,4,0.000000
21,92,55,0,5,6.682,0.6919,0.9000,1174,1.9917,0.9999,5,0.000000
22,92,88,0,8,87.985,0.2593,0.9333,300,3.2020,0.9998,3,0.000000
23,92,86,0,7,2.582,0.8934,0.8000,312,1.1242,0.9998,3,0.000000
24,92,82,0,9,84.743,0.4508,0.9167,993,2.3593,0.9999,4,0.000000
25,92,89,0,12,44.839,0.6917,0.9333,278,0.5016,0.9996,2,0.000000
26,92,91,0,5,93.425,0.3585,0.9167,1185,3.3601,0.9996,1,0.000000
27,92,79,0,5,44.355,0.4805,0.9333,391,4.7200,0.9999,5,0.000000
28,92,70,0,7,56.717,0.7264,0.8833,952,3.4504,0.9997,1,0.000000
29,92,80,0,6,65.831,0.6429,0.9167,306,0.7856,0.9999,5,0.000000
