client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,44,41,0,6,87.262,0.3502,0.9706,733,11.1904,0.9998,2,0.000000
1,44,35,0,4,70.865,0.2086,0.9655,639,0.1710,0.9998,4,0.000000
2,44,42,0,4,93.337,0.2228,0.9697,1114,0.5521,0.9998,5,0.000000
3,44,34,0,4,45.208,1.2815,0.9538,870,10.2874,0.9998,2,0.000000
4,44,29,0,6,66.875,0.3125,0.9483,294,0.1466,0.9999,4,0.000000
5,44,41,0,5,0.105,0.1800,0.9747,563,1.1488,0.9998,2,0.000000
6,44,43,0,5,50.118,0.3239,0.9333,248,2.4830,0.9997,3,0.000000
7,44,19,0,3,66.797,0.3672,0.9444,858,0.6383,0.9997,1,0.000000
8,44,37,0,4,6.608,0.5398,0.9375,679,2.4972,0.9999,5,0.000000
9,44,43,0,6,60.530,1.1108,0.9200,229,0.2286,0.9999,5,0.000000
10,44,32,0,2,69.586,0.6905,0.8732,818,3.1878,0.9999,5,0.000000
11,44,31,0,4,27.052,0.0211,1.0000,959,0.9485,0.9998,3,0.000000
12,44,2,0,1,64.305,1.6701,0.9265,432,6.6083,0.9997,3,0.000000
13,44,19,0,2,38.219,0.3494,0.9833,368,1.6631,0.9999,5,0.000000
14,44,35,0,5,88.414,0.4993,0.9524,958,0.6269,0.9998,3,0.000000
15,44,32,0,4,13.261,0.4244,0.9048,536,0.3628,0.9996,4,0.000000
16,44,40,1,4,82.465,0.7736,0.8864,1177,1.7608,1.0000,5,0.000200
17,44,36,0,4,79.717,0.8277,0.8750,344,2.5247,0.9997,3,0.000000
18,44,39,0,4,50.616,0.6497,0.9655,794,0.0688,1.0000,5,0.000000
19,44,41,0,6,38.408,0.3597,0.9750,1114,10.5802,0.9996,4,0.000000
20,44,1,0,1,19.947,1.0826,0.7872,715,5.1340,0.9978,5,0.000000
21,44,42,1,8,39.465,1.3156,0.8317,263,5.8873,0.9997,2,0.002500
22,44,43,0,2,27.346,0.0595,0.9783,439,0.1257,0.9999,5,0.000000
23,44,32,0,3,93.069,0.5480,0.9286,1040,1.6670,0.9999,5,0.000000
24,44,43,0,5,92.549,0.9819,0.8333,281,0.2110,0.9993,4,0.000000
25,44,43,0,4,49.089,0.7099,0.9167,219,5.3059,0.9994,1,0.000000
26,44,4,0,1,73.043,0.8744,0.9104,591,3.0945,0.9998,3,0.000000
27,44,41,1,7,18.439,0.2721,0.9412,657,3.1980,0.9999,5,0.001100
28,44,24,0,3,99.675,0.2119,0.9524,1105,0.5022,0.9999,4,0.000000
29,44,40,0,3,56.130,0.9048,0.8438,338,0.1089,0.9996,4,0.000000
30,44,25,0,3,1.951,0.6400,0.9130,225,0.0183,0.9998,3,0.000000
31,44,39,1,6,81.047,0.3305,0.9184,742,1.3122,0.9998,3,0.010300
32,44,29,0,6,40.561,0.3503,0.8571,775,0.1345,0.9995,2,0.000000
33,44,26,1,2,30.183,0.8744,0.8704,897,5.2076,0.9999,5,0.002600
34,44,14,0,2,32.189,0.0879,1.0000,716,2.5525,0.9999,4,0.000000
35,44,42,0,4,65.132,0.0055,1.0000,573,0.8186,0.9996,3,0.000000
36,44,39,0,6,65.966,0.8878,0.9452,1020,2.9972,0.9999,3,0.000000
37,44,39,1,5,27.354,1.0833,0.9306,884,2.3548,0.9998,2,0.002900
38,44,38,0,5,47.086,0.3016,0.9538,614,0.6366,0.9999,4,0.000000
39,44,42,0,7,30.914,0.0932,0.9672,860,0.0357,0.9999,4,0.000000
40,44,27,0,2,33.360,0.1779,0.9608,1074,3.3342,0.9997,3,0.000000
41,44,34,0,5,34.908,0.6901,0.9014,787,0.0931,0.9999,5,0.000000
42,44,40,0,5,55.366,0.9428,0.8387,781,5.1872,0.9999,4,0.000000
43,44,40,0,6,58.215,0.6224,0.7857,923,1.4589,0.9996,4,0.000000
44,44,11,0,2,97.210,0.3240,0.9524,799,1.6238,0.9999,3,0.000000
45,44,26,0,3,71.115,1.0314,0.8718,498,2.1991,0.9999,5,0.000000
46,44,35,0,5,24.547,0.1862,0.9167,334,1.1519,0.9995,1,0.000000
47,44,41,0,7,25.164,0.5681,0.9459,470,2.7212,0.9997,1,0.000000
48,44,35,1,6,88.172,0.1053,0.9865,262,0.5206,0.9999,4,-0.009800
49,44,23,0,4,42.939,1.6072,0.8293,512,3.3676,0.9998,4,0.000000
50,44,35,0,3,46.543,0.3387,0.9412,1192,3.3463,0.9999,5,0.000000
51,44,28,0,5,99.327,0.4029,0.9412,401,1.3711,0.9999,4,0.000000
52,44,42,0,6,91.802,0.2809,0.9038,752,2.0914,0.9997,1,0.000000
53,44,26,0,3,69.762,0.3698,0.9508,571,0.4474,0.9999,4,0.000000
