client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,36,35,0,5,65.450,0.6964,0.9559,1101,0.7488,0.9998,3,0.000000
1,36,35,0,4,70.865,0.2086,0.9655,639,0.1710,0.9998,4,0.000000
2,36,21,0,3,21.251,0.3788,0.9091,433,3.6766,0.9995,1,0.000000
3,36,34,0,4,45.208,1.2815,0.9538,870,10.2874,0.9998,2,0.000000
4,36,29,0,6,66.875,0.3125,0.9483,294,0.1466,0.9999,4,0.000000
5,36,28,0,3,51.374,0.1476,0.9873,970,3.3297,0.9998,2,0.000000
6,36,30,0,3,76.618,0.4716,0.9000,457,2.0892,0.9997,2,0.000000
7,36,19,0,3,66.797,0.3672,0.9444,858,0.6383,0.9997,1,0.000000
8,36,22,0,3,51.372,0.3867,0.9375,629,4.5783,0.9999,5,0.000000
9,36,34,0,4,29.830,0.6876,0.9200,325,1.3460,0.9996,1,0.000000
10,36,32,0,2,69.586,0.6905,0.8732,818,3.1878,0.9999,5,0.000000
11,36,31,0,4,27.052,0.0211,1.0000,959,0.9485,0.9998,3,0.000000
12,36,2,0,1,64.305,1.6701,0.9265,432,6.6083,0.9997,3,0.000000
13,36,19,0,2,38.219,0.3494,0.9833,368,1.6631,0.9999,5,0.000000
14,36,35,0,5,88.414,0.4993,0.9524,958,0.6269,0.9998,3,0.000000
15,36,32,0,4,13.261,0.4244,0.9048,536,0.3628,0.9996,4,0.000000
16,36,31,1,2,1.674,0.8708,0.8409,333,2.1372,0.9999,3,0.001100
17,36,19,1,3,79.717,0.6079,0.8958,651,6.5194,0.9997,3,0.003100
18,36,25,0,3,14.711,0.3120,0.9540,895,0.2190,0.9997,1,0.000000
19,36,35,0,5,29.831,0.4399,0.9500,388,1.4242,0.9992,2,0.000000
20,36,1,0,1,19.947,1.0826,0.7872,715,5.1340,0.9978,5,0.000000
21,36,33,0,7,45.984,0.6353,0.9406,908,3.5257,0.9999,3,0.000000
22,36,4,0,1,6.548,0.1752,0.9565,845,4.0065,0.9998,4,0.000000
23,36,32,0,3,93.069,0.5480,0.9286,1040,1.6670,0.9999,5,0.000000
24,36,27,0,2,61.979,0.7211,0.8667,268,1.8416,0.9999,4,0.000000
25,36,31,0,2,47.308,0.9768,0.9000,939,4.4765,0.9999,4,0.000000
26,36,4,0,1,73.043,0.8744,0.9104,591,3.0945,0.9998,3,0.000000
27,36,28,0,6,35.469,0.5151,0.9020,1153,2.3723,0.9997,2,0.000000
28,36,24,0,3,99.675,0.2119,0.9524,1105,0.5022,0.9999,4,0.000000
29,36,18,0,2,10.309,1.0125,0.8594,570,14.7945,0.9998,4,0.000000
30,36,25,0,3,1.951,0.6400,0.9130,225,0.0183,0.9998,3,0.000000
31,36,30,0,5,26.910,0.3123,0.9388,907,0.6596,0.9999,4,0.000000
32,36,29,0,6,40.561,0.3503,0.8571,775,0.1345,0.9995,2,0.000000
33,36,26,0,2,90.445,0.8744,0.8704,897,5.2076,0.9996,3,0.000000
34,36,14,0,2,32.189,0.0879,1.0000,716,2.5525,0.9999,4,0.000000
35,36,30,0,2,76.029,0.0204,1.0000,1003,0.0194,0.9995,3,0.000000
36,36,33,0,5,2.342,0.8400,0.9178,794,2.0743,0.9998,3,0.000000
37,36,14,0,2,6.549,1.0162,0.9028,577,2.4193,0.9998,2,0.000000
38,36,28,1,3,28.990,0.1579,0.9846,857,2.8268,0.9997,2,-0.000500
39,36,30,1,4,80.355,0.1944,0.9672,371,3.0393,0.9999,5,-0.007100
40,36,27,0,2,33.360,0.1779,0.9608,1074,3.3342,0.9997,3,0.000000
41,36,34,0,5,34.908,0.6901,0.9014,787,0.0931,0.9999,5,0.000000
42,36,22,0,4,90.622,0.8385,0.8548,1009,4.4295,0.9999,4,0.000000
43,36,33,0,4,17.349,0.7052,0.7857,386,4.6668,0.9995,3,0.000000
44,36,11,0,2,97.210,0.3240,0.9524,799,1.6238,0.9999,3,0.000000
45,36,26,0,3,71.115,1.0314,0.8718,498,2.1991,0.9999,5,0.000000
46,36,35,0,5,24.547,0.1862,0.9167,334,1.1519,0.9995,1,0.000000
47,36,23,0,5,44.405,0.5242,0.9324,1041,2.2107,0.9998,2,0.000000
48,36,35,0,6,24.601,0.1053,0.9865,262,0.5206,0.9999,4,0.000000
49,36,23,0,4,42.939,1.6072,0.8293,512,3.3676,0.9998,4,0.000000
50,36,35,0,3,46.543,0.3387,0.9412,1192,3.3463,0.9999,5,0.000000
51,36,28,0,5,99.327,0.4029,0.9412,401,1.3711,0.9999,4,0.000000
52,36,34,0,4,43.744,0.2553,0.9423,1120,3.2267,0.9999,5,0.000000
53,36,26,0,3,69.762,0.3698,0.9508,571,0.4474,0.9999,4,0.000000
54,36,22,0,3,45.668,0.8920,0.9155,402,8.5359,0.9995,1,0.000000
55,36,30,0,6,9.141,0.9324,0.9344,232,0.7481,0.9999,3,0.000000
56,36,31,0,3,9.877,0.4462,0.9394,574,2.3301,0.9997,2,0.000000
57,36,29,0,2,81.859,0.3862,0.9286,781,1.3141,0.9996,1,0.000000
58,36,29,0,7,43.468,0.2728,0.9388,382,0.8830,0.9997,2,0.000000
59,36,11,0,2,58.915,0.4724,0.9500,601,0.4220,0.9997,3,0.000000
60,36,19,0,3,70.149,0.8588,0.9074,829,9.2270,0.9997,2,0.000000
61,36,35,0,4,99.980,0.1794,0.9701,413,0.0683,0.9998,3,0.000000
62,36,31,0,5,56.300,0.4460,0.9104,221,8.3686,0.9999,4,0.000000
63,36,34,0,5,9.712,0.3772,0.8889,262,11.8421,0.9996,1,0.000000
64,36,30,0,6,55.817,0.0652,1.0000,1173,1.2031,0.9999,3,0.000000
65,36,5,0,1,22.529,1.8267,0.8696,211,1.4561,0.9921,2,0.000000
66,36,29,0,3,62.469,0.3290,0.9333,1197,0.0348,0.9998,2,0.000000
67,36,32,1,4,14.409,0.3164,0.9571,981,1.6190,0.9999,5,-0.002500
68,36,35,0,5,38.349,0.2054,0.9388,597,3.0293,0.9996,2,0.000000
69,36,27,0,5,34.507,0.2606,0.9750,200,3.8136,0.9998,4,0.000000
70,36,24,0,2,24.351,0.2362,0.9474,583,2.0274,0.9998,4,0.000000
71,36,34,0,2,24.210,0.2743,0.9667,1190,0.1632,0.9998,4,0.000000
72,36,27,0,2,61.289,0.2025,0.9538,648,1.0483,0.9999,4,0.000000
73,36,27,0,4,18.597,0.3543,0.9467,1148,13.4491,0.9996,1,0.000000
74,36,32,0,5,57.037,1.0246,0.8525,419,28.5984,0.9999,5,0.000000
75,36,24,0,3,3.075,0.4288,0.9333,770,1.2848,0.9997,2,0.000000
76,36,31,1,3,77.592,2.6858,0.8824,1034,6.3476,0.9997,1,0.001300
77,36,26,0,3,82.378,0.3765,0.9412,1018,1.9481,0.9995,1,0.000000
78,36,33,0,3,51.846,0.1451,0.9718,1100,50.1407,0.9998,2,0.000000
79,36,29,0,3,57.398,0.4410,0.9344,429,7.3653,0.9996,1,0.000000
80,36,20,0,3,70.184,0.4571,0.9646,476,1.4924,1.0000,5,0.000000
81,36,28,0,4,37.477,0.6943,0.8980,966,2.4444,0.9998,2,0.000000
82,36,34,0,5,57.737,0.4330,0.8958,434,1.8676,0.9993,1,0.000000
83,36,30,0,3,86.548,0.7661,0.9091,790,3.9105,0.9998,3,0.000000
84,36,31,0,5,13.467,0.3042,0.9683,558,0.6761,0.9999,5,0.000000
85,36,35,0,5,16.814,0.1988,0.9663,1175,0.0090,0.9998,2,0.000000
86,36,28,1,3,35.775,0.1817,0.9701,975,1.5417,0.9994,1,-0.000200
87,36,1,0,1,90.522,2.9009,0.5686,895,5.9154,0.9839,1,0.000000
88,36,9,0,1,19.242,0.5873,0.8654,920,4.2122,0.9999,4,0.000000
89,36,32,0,9,31.272,0.3254,0.8636,723,1.1341,0.9994,2,0.000000
90,36,21,0,2,13.042,0.7203,0.8909,1149,2.1127,0.9999,3,0.000000
91,36,24,1,4,65.513,0.7915,0.8636,506,2.5057,0.9999,4,0.007200
92,36,29,1,3,40.784,0.2084,0.9857,379,5.5478,0.9997,2,0.001100
93,36,18,0,3,87.901,0.2971,0.9524,1097,0.6797,0.9999,4,0.000000
94,36,6,0,1,22.183,0.5590,0.9062,587,0.0051,0.9995,5,0.000000
95,36,33,0,5,90.232,0.6256,0.8491,684,0.0740,0.9992,1,0.000000
96,36,32,0,2,50.322,0.1793,0.9667,940,0.0013,0.9999,4,0.000000
97,36,26,0,4,43.861,0.5716,0.9647,1055,0.7385,1.0000,5,0.000000
98,36,29,1,5,57.600,0.8199,0.8525,1137,3.2155,0.9994,1,-0.000200
99,36,14,0,2,99.639,0.9792,0.9014,754,0.0000,0.9999,4,0.000000
