client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,77,71,0,8,14.098,0.7546,0.9706,610,0.0450,0.9998,2,0.000000
1,77,62,0,6,25.401,0.0701,0.9655,353,0.7644,0.9998,3,0.000000
2,77,42,0,4,93.337,0.2228,0.9697,1114,0.5521,0.9998,5,0.000000
3,77,76,1,9,2.566,0.9914,0.9385,775,0.1580,0.9999,5,0.004300
4,77,75,0,11,96.135,0.1781,0.9655,1000,1.1099,0.9998,2,0.000000
5,77,75,1,6,70.558,0.1363,0.9873,829,3.3197,0.9996,1,-0.003200
6,77,75,0,10,39.470,0.2508,0.9500,207,3.2383,0.9996,2,0.000000
7,77,76,0,5,77.024,0.4716,0.9444,567,0.5136,0.9997,2,0.000000
8,77,70,0,6,24.436,0.4710,0.9583,363,1.2662,0.9998,4,0.000000
9,77,70,0,10,23.546,1.0080,0.9000,1093,0.0174,0.9998,4,0.000000
10,77,72,0,9,91.804,0.5242,0.9014,906,8.9903,0.9999,5,0.000000
11,77,69,0,5,31.410,0.0013,1.0000,687,0.0168,0.9997,2,0.000000
12,77,75,0,4,75.802,0.1574,0.9853,958,0.0458,0.9999,3,0.000000
13,77,71,0,5,96.334,0.3724,0.9500,432,4.7872,0.9994,1,0.000000
14,77,68,0,8,21.447,0.6111,0.9683,299,0.8215,0.9996,2,0.000000
15,77,70,0,8,48.392,0.5274,0.9048,774,0.6892,0.9998,5,0.000000
16,77,61,0,10,82.309,0.6358,0.9205,958,5.2008,0.9999,2,0.000000
17,77,62,0,9,28.862,0.4026,0.9167,314,5.5496,0.9999,5,0.000000
18,77,64,0,7,16.193,0.2636,0.9655,462,1.3707,0.9999,4,0.000000
19,77,76,0,8,62.506,0.1171,0.9750,941,3.6116,0.9997,3,0.000000
20,77,74,0,5,40.367,0.5446,0.8936,503,7.9146,0.9997,3,0.000000
