client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,23,20,0,2,24.954,0.6712,0.9118,693,27.1186,0.9996,1,0.000000
1,23,7,0,1,47.085,0.4967,0.8966,385,1.0402,0.9997,3,0.000000
2,23,21,0,3,21.251,0.3788,0.9091,433,3.6766,0.9995,1,0.000000
3,23,13,0,3,6.206,1.7250,0.9077,923,8.6756,0.9998,2,0.000000
4,23,22,0,3,59.224,0.3352,0.9138,856,3.6644,0.9996,2,0.000000
5,23,12,0,2,90.588,0.3296,0.9620,625,2.7083,0.9998,1,0.000000
6,23,20,0,2,31.536,0.8446,0.8500,325,3.0202,0.9996,2,0.000000
7,23,19,0,3,66.797,0.3672,0.9444,858,0.6383,0.9997,1,0.000000
8,23,22,0,3,51.372,0.3867,0.9375,629,4.5783,0.9999,5,0.000000
9,23,19,0,3,0.561,0.9134,0.9400,581,1.7059,0.9998,4,0.000000
10,23,1,0,1,85.475,3.2515,0.6761,993,7.0509,0.9927,1,0.000000
11,23,12,0,2,49.523,0.0277,1.0000,329,0.0318,0.9999,3,0.000000
12,23,2,0,1,64.305,1.6701,0.9265,432,6.6083,0.9997,3,0.000000
13,23,19,0,2,38.219,0.3494,0.9833,368,1.6631,0.9999,5,0.000000
14,23,12,1,2,53.668,0.4725,0.9683,1001,0.1595,0.9999,5,-0.020500
15,23,16,0,2,1.291,0.3742,0.9048,364,11.7275,0.9995,3,0.000000
16,23,6,0,1,26.945,0.7107,0.8977,1181,3.5288,0.9999,3,0.000000
17,23,19,0,3,78.521,0.6079,0.8958,651,6.5194,0.9997,2,0.000000
18,23,11,0,2,86.171,0.4609,0.9540,1005,4.0659,0.9997,1,0.000000
19,23,16,0,3,89.951,1.0072,0.9500,286,6.3537,0.9997,4,0.000000
20,23,1,0,1,19.947,1.0826,0.7872,715,5.1340,0.9978,5,0.000000
21,23,20,0,4,20.470,1.8714,0.8119,518,4.3921,0.9999,5,0.000000
22,23,4,0,1,6.548,0.1752,0.9565,845,4.0065,0.9998,4,0.000000
23,23,19,0,2,7.430,0.5251,0.9048,365,1.0733,0.9999,5,0.000000
24,23,5,0,1,10.938,0.8442,0.8500,1184,3.0091,0.9995,4,0.000000
25,23,6,0,1,41.098,0.8697,0.8333,1056,4.6343,0.9997,3,0.000000
26,23,4,0,1,73.043,0.8744,0.9104,591,3.0945,0.9998,3,0.000000
27,23,21,0,5,3.333,0.5652,0.8824,531,1.9276,0.9999,5,0.000000
28,23,10,1,1,89.472,0.6438,0.9048,1120,4.1773,0.9998,4,-0.002600
29,23,18,0,2,10.309,1.0125,0.8594,570,14.7945,0.9998,4,0.000000
30,23,19,0,2,46.021,0.4346,0.9348,1086,0.0844,0.9999,5,0.000000
31,23,20,0,4,15.519,0.4915,0.8980,878,1.6865,0.9998,3,0.000000
32,23,22,0,4,57.807,0.5037,0.8095,922,3.3160,0.9996,4,0.000000
33,23,8,0,1,54.348,0.8331,0.8889,1061,6.7748,0.9997,3,0.000000
34,23,14,0,2,32.189,0.0879,1.0000,716,2.5525,0.9999,4,0.000000
35,23,1,0,1,74.501,0.4998,0.7619,957,0.6192,0.9964,4,0.000000
36,23,21,0,3,97.761,0.9348,0.9041,400,2.7074,0.9999,3,0.000000
37,23,14,0,2,6.549,1.0162,0.9028,577,2.4193,0.9998,2,0.000000
38,23,21,0,2,81.240,0.2260,0.9385,438,3.8178,0.9998,2,0.000000
39,23,22,0,3,92.630,0.1129,0.9672,521,1.7567,0.9996,1,0.000000
40,23,2,0,1,65.963,0.2556,0.9608,725,0.2123,0.9996,3,0.000000
41,23,16,0,2,43.565,0.8628,0.9296,1057,1.7599,0.9999,3,0.000000
42,23,22,0,4,90.622,0.8385,0.8548,1009,4.4295,0.9999,4,0.000000
43,23,17,0,3,95.239,0.8468,0.7500,606,2.4575,0.9994,1,0.000000
44,23,11,0,2,97.210,0.3240,0.9524,799,1.6238,0.9999,3,0.000000
45,23,13,0,2,18.287,1.1309,0.8333,502,15.9319,0.9999,5,0.000000
46,23,7,1,1,74.425,0.3594,0.9375,941,3.2183,0.9998,4,0.001700
47,23,21,1,4,44.405,0.6537,0.9459,1092,2.8170,0.9998,2,0.001700
48,23,17,0,3,85.496,0.1761,0.9730,609,0.9351,0.9998,4,0.000000
49,23,22,1,3,42.939,0.9339,0.8780,681,6.1806,0.9998,4,0.009300
50,23,12,0,2,74.571,0.5766,0.8824,913,4.6102,0.9998,4,0.000000
51,23,13,1,2,2.583,0.5667,0.9265,1183,6.9706,0.9997,2,0.008600
52,23,8,0,1,90.681,0.8936,0.8462,1052,4.7395,0.9998,2,0.000000
53,23,4,0,1,14.688,0.5520,0.9180,758,1.3054,0.9999,5,0.000000
54,23,22,0,3,45.668,0.8920,0.9155,402,8.5359,0.9995,1,0.000000
55,23,22,0,4,24.843,0.7250,0.9344,229,1.8881,1.0000,5,0.000000
56,23,1,0,1,61.647,1.2395,0.8030,611,3.5088,0.9977,4,0.000000
57,23,5,0,1,5.336,0.5211,0.9286,542,1.9432,0.9991,1,0.000000
58,23,17,0,4,77.324,0.5201,0.8776,1117,1.2071,0.9998,3,0.000000
59,23,11,0,2,58.915,0.4724,0.9500,601,0.4220,0.9997,3,0.000000
60,23,19,0,3,70.149,0.8588,0.9074,829,9.2270,0.9997,2,0.000000
61,23,15,0,2,80.535,0.2529,0.9701,701,2.6599,0.9997,2,0.000000
62,23,22,0,3,13.136,0.4926,0.9104,595,28.1558,0.9996,1,0.000000
63,23,20,0,3,81.089,0.4365,0.8889,1173,7.1696,0.9997,1,0.000000
64,23,21,0,3,78.755,0.0844,0.9787,648,0.0912,0.9996,1,0.000000
