client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
0,65,55,0,7,97.086,0.3386,0.9853,805,0.5833,0.9999,3,0.000000
1,65,62,0,6,25.401,0.0701,0.9655,353,0.7644,0.9998,3,0.000000
2,65,42,0,4,93.337,0.2228,0.9697,1114,0.5521,0.9998,5,0.000000
3,65,55,0,6,48.268,2.0421,0.9231,784,1.9549,0.9998,3,0.000000
4,65,63,0,8,30.004,0.2026,0.9483,486,0.0285,0.9998,2,0.000000
5,65,41,0,5,0.105,0.1800,0.9747,563,1.1488,0.9998,2,0.000000
6,65,56,0,7,89.325,0.2327,0.9167,220,2.8672,0.9997,2,0.000000
7,65,58,0,4,74.500,0.2954,0.9722,498,2.8381,0.9996,1,0.000000
8,65,50,0,5,91.533,0.3237,0.9583,325,3.9375,0.9996,1,0.000000
9,65,55,0,8,18.680,0.7647,0.9400,376,4.1056,0.9993,1,0.000000
10,65,61,0,5,25.876,0.5829,0.9014,649,0.3756,0.9999,5,0.000000
11,65,31,0,4,27.052,0.0211,1.0000,959,0.9485,0.9998,3,0.000000
12,65,63,0,2,53.236,0.1809,0.9853,266,0.0000,0.9998,2,0.000000
13,65,56,0,4,82.726,0.4694,0.9500,824,1.0593,0.9999,4,0.000000
14,65,50,0,7,90.657,0.6557,0.9524,270,0.9827,0.9997,2,0.000000
15,65,62,0,7,87.775,0.3012,0.9048,635,6.0122,0.9987,2,0.000000
16,65,61,0,10,82.309,0.6358,0.9205,958,5.2008,0.9999,2,0.000000
17,65,62,0,9,28.862,0.4026,0.9167,314,5.5496,0.9999,5,0.000000
18,65,64,0,7,16.193,0.2636,0.9655,462,1.3707,0.9999,4,0.000000
19,65,56,0,7,32.826,0.1470,0.9500,561,2.9939,0.9999,5,0.000000
20,65,54,0,3,88.129,0.6048,0.8723,981,4.7205,0.9998,4,0.000000
21,65,63,0,12,59.626,0.8201,0.8812,663,2.3262,0.9999,4,0.000000
22,65,43,0,2,27.346,0.0595,0.9783,439,0.1257,0.9999,5,0.000000
23,65,63,0,6,4.004,0.4743,0.9286,724,0.4755,0.9997,2,0.000000
24,65,62,1,9,29.364,0.5415,0.9167,423,0.9058,0.9998,2,0.000200
25,65,62,0,6,95.468,1.0164,0.9167,707,2.2898,0.9998,4,0.000000
26,65,4,0,1,73.043,0.8744,0.9104,591,3.0945,0.9998,3,0.000000
27,65,64,1,12,79.563,0.3268,0.9804,473,0.4647,0.9999,5,0.004600
28,65,45,0,4,20.260,0.4043,0.9286,952,0.7774,0.9999,4,0.000000
29,65,49,0,5,4.267,1.3243,0.8125,933,25.1614,0.9995,1,0.000000
