client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs,contribution
86,81,74,0,5,84.605,0.5542,0.9000,584,2.3914,0.9998,3,0.000000
87,81,80,0,12,21.278,0.9662,0.9167,928,4.1548,0.9999,5,0.000000
88,81,64,0,6,15.036,0.6020,0.8833,1063,1.0964,0.9999,4,0.000000
89,81,61,0,7,53.722,0.8702,0.8833,996,2.9921,0.9998,3,0.000000
90,81,76,0,8,61.151,0.7161,0.8833,745,1.9682,0.9999,5,0.000000
91,81,62,0,10,25.402,1.2132,0.8833,1127,4.1634,0.9999,5,0.000000
92,81,75,0,10,95.950,0.2717,0.9667,1133,0.8279,0.9998,3,0.000000
93,81,77,0,8,98.717,0.6199,0.8833,1171,3.6693,0.9999,4,0.000000
94,81,62,0,8,23.937,0.2482,0.9333,801,3.1010,0.9997,1,0.000000
95,81,67,0,9,56.799,0.6132,0.8667,1135,2.7555,0.9999,5,0.000000
96,81,73,0,6,73.305,0.3797,0.9000,1120,4.6681,0.9996,1,0.000000
97,81,80,0,10,98.209,0.4706,0.8667,1115,1.2589,0.9998,3,0.000000
98,81,77,0,10,6.251,0.8115,0.8500,1056,3.5014,0.9998,2,0.000000
99,81,72,0,10,27.998,0.2180,0.9833,865,4.0368,0.9998,3,0.000000
