client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs
0,94,88,0,7,87.532,0.212,0.967,960,0.053,0.4350,2
1,94,90,0,6,63.130,0.005,1.000,254,0.019,0.4275,5
2,94,91,0,9,81.860,0.422,0.967,768,1.740,0.3896,3
3,94,92,0,7,21.543,0.011,1.000,329,0.095,0.5627,3
4,94,93,0,14,62.368,0.033,1.000,362,0.029,0.2205,5
5,94,55,0,4,6.294,0.111,0.967,410,0.021,0.2250,1
6,94,93,0,5,80.938,0.021,1.000,683,0.059,0.4579,3
7,94,91,0,4,95.509,0.113,0.967,253,0.170,0.3983,3
8,94,88,0,13,89.242,0.005,1.000,492,0.018,0.3162,5
9,94,92,0,10,63.773,0.037,0.983,518,0.071,0.1851,2
10,94,93,0,10,95.789,0.268,0.950,842,0.091,0.4231,2
11,94,92,0,12,49.321,0.163,0.983,644,0.024,0.4173,4
12,94,92,0,11,75.529,0.134,0.967,1084,0.017,0.3642,5
13,94,92,0,12,30.195,0.009,1.000,1116,0.096,0.2940,3
14,94,87,0,10,93.473,0.044,1.000,428,0.508,0.3357,2
15,94,94,1,8,60.334,0.001,1.000,540,0.042,0.2203,4
16,94,92,0,12,98.367,0.064,1.000,453,0.113,0.4155,5
17,94,91,0,7,93.560,0.494,0.967,943,0.371,0.0935,1
18,94,85,0,9,4.096,0.017,1.000,1056,0.426,0.2623,1
19,94,90,0,13,73.419,0.003,1.000,720,0.049,0.3071,4
20,94,90,0,6,1.677,0.152,0.983,914,0.017,0.3622,5
21,94,82,0,13,81.138,0.004,1.000,945,0.063,0.1449,2
22,94,85,0,10,10.472,0.010,1.000,801,0.002,0.3459,4
23,94,75,0,17,91.741,0.154,0.967,519,0.069,0.2494,5
24,94,68,0,9,37.369,0.010,1.000,1130,0.023,0.1552,3
25,94,90,0,13,0.132,0.143,0.967,1134,0.049,0.4589,5
26,94,82,0,11,87.843,0.530,0.950,1117,0.047,0.3896,3
27,94,91,0,8,33.518,0.114,0.967,1127,0.001,0.3734,5
28,94,83,0,5,2.128,0.009,1.000,1075,0.619,0.3397,2
29,94,87,0,10,33.598,0.283,0.967,1171,0.023,0.2206,3
30,94,86,0,12,43.967,0.011,1.000,913,0.023,0.2521,3
31,94,94,1,12,24.377,0.043,0.983,528,0.039,0.1674,4
32,94,88,0,11,38.122,0.051,0.983,572,3.045,0.4377,2
33,94,94,1,7,15.688,0.000,1.000,912,0.014,0.3287,5
34,94,73,0,10,20.539,0.007,1.000,499,0.001,0.2218,4
35,94,72,0,6,15.466,0.032,1.000,213,0.034,0.3325,4
36,94,86,0,8,98.121,0.291,0.983,796,0.018,0.4024,5
37,94,80,0,6,92.927,0.001,1.000,576,0.208,0.4856,5
38,94,77,0,11,21.358,0.231,0.967,505,0.047,0.3373,5
39,94,94,1,16,42.804,0.102,0.967,707,0.035,0.1898,1
40,94,76,0,10,96.842,0.115,0.967,540,0.117,0.1815,1
41,94,83,0,14,82.433,0.136,0.983,969,0.040,0.2812,5
42,94,93,0,13,65.941,0.099,0.967,326,0.132,0.2004,1
43,94,88,0,9,20.900,0.571,0.917,292,0.026,0.1863,4
44,94,78,0,6,93.041,0.276,0.983,973,0.561,0.2996,1
45,94,88,0,13,67.024,0.020,1.000,771,0.008,0.2895,5
46,94,91,0,8,57.054,0.616,0.933,327,0.090,0.4058,5
47,94,9,0,1,99.718,0.121,0.967,1113,1.159,0.5565,5
48,94,94,1,6,84.444,0.071,1.000,996,0.002,0.4758,5
49,94,91,0,10,75.784,0.013,1.000,435,0.593,0.2191,2
50,94,93,0,12,26.977,0.007,1.000,661,0.693,0.2061,1
51,94,89,0,14,33.304,0.012,1.000,674,0.037,0.2664,4
52,94,93,0,10,55.331,0.287,0.983,924,0.089,0.3466,2
53,94,80,0,6,28.859,0.175,0.967,747,0.244,0.2078,1
54,94,88,0,7,41.111,0.001,1.000,730,0.021,0.2821,5
55,94,94,1,14,14.284,0.240,0.983,280,0.069,0.2073,5
56,94,66,0,6,49.366,0.214,0.950,607,0.069,0.3848,3
57,94,57,0,6,48.762,0.047,1.000,1164,0.019,0.1250,1
58,94,79,0,10,97.975,0.160,0.983,596,0.113,0.1122,3
59,94,87,0,7,63.415,0.024,1.000,332,0.122,0.3860,3
60,94,63,0,3,84.124,0.005,1.000,587,0.047,0.4148,4
61,94,78,0,8,82.095,0.079,0.983,616,0.035,0.3913,3
62,94,82,0,8,96.567,0.383,0.950,1045,0.157,0.2024,1
63,94,67,0,11,60.899,0.074,0.967,811,0.113,0.3912,4
64,94,78,0,11,25.748,0.004,1.000,521,0.032,0.2533,3
65,94,94,1,8,31.278,0.022,1.000,1159,0.374,0.4686,3
66,94,71,0,8,3.092,0.220,0.983,300,0.019,0.2410,4
67,94,88,0,10,55.692,0.235,0.983,364,0.089,0.3431,4
68,94,87,0,11,31.932,0.218,0.950,446,0.004,0.3548,4
69,94,90,0,9,10.115,0.077,0.983,784,0.137,0.1711,1
70,94,92,0,11,5.717,0.180,0.967,1015,0.530,0.3331,2
71,94,90,0,5,52.219,0.067,0.983,1037,0.112,0.1650,1
72,94,90,0,8,45.761,0.072,0.983,775,1.449,0.3270,1
73,94,90,0,9,78.811,0.042,1.000,1031,0.110,0.1782,2
74,94,94,1,10,0.129,0.103,0.983,629,0.012,0.3229,5
75,94,89,0,12,53.293,0.065,0.983,606,0.904,0.0931,1
76,94,88,0,8,76.864,0.195,0.983,705,0.017,0.2878,5
77,94,87,0,10,27.605,0.064,0.983,693,3.720,0.1037,1
78,94,83,0,17,51.721,0.352,0.967,1065,0.027,0.1391,3
79,94,91,0,15,27.359,0.002,1.000,303,0.006,0.1175,1
80,94,66,0,9,23.732,0.136,0.983,267,0.082,0.3051,4
81,94,52,0,5,14.864,0.482,0.950,226,0.254,0.3155,2
82,94,94,1,10,71.759,0.080,0.983,931,0.080,0.4128,4
83,94,84,0,7,66.028,0.080,0.983,757,0.013,0.4165,5
84,94,93,0,10,29.386,0.797,0.967,516,0.016,0.3747,5
85,94,89,0,10,46.878,0.091,0.967,244,0.037,0.3342,5
86,94,78,0,8,26.534,0.267,0.967,608,0.045,0.3313,4
87,94,86,0,9,99.578,0.158,0.983,413,0.004,0.3150,3
88,94,82,0,7,62.115,0.198,0.983,695,0.555,0.1802,1
89,94,90,0,9,24.096,0.163,0.967,271,0.014,0.3920,3
90,94,94,1,9,55.120,0.013,1.000,691,0.910,0.3295,2
91,94,58,0,6,99.536,0.073,0.983,552,0.627,0.4063,2
92,94,93,0,5,15.501,0.024,1.000,677,0.012,0.3661,5
93,94,85,0,8,18.865,0.132,0.983,816,0.044,0.2630,1
94,94,92,0,12,38.169,0.076,0.983,480,3.159,0.0602,1
95,94,92,0,12,49.569,0.067,0.983,414,0.004,0.2013,4
96,94,92,0,11,39.396,0.006,1.000,736,0.007,0.1309,3
97,94,89,0,13,27.375,0.181,0.983,276,0.291,0.3820,3
98,94,88,0,11,74.012,0.359,0.933,1152,0.011,0.3902,5
99,94,77,0,11,82.650,0.388,0.950,1136,0.022,0.1783,1
