client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs
0,46,21,0,2,20.828,0.260,0.967,492,0.919,0.4734,3
1,46,31,0,3,43.550,0.126,0.967,1153,0.050,0.3819,5
2,46,46,1,3,78.058,0.408,0.933,424,0.053,0.4812,4
3,46,20,0,3,70.902,0.035,1.000,1140,4.335,0.2139,1
4,46,38,0,7,79.733,0.129,0.983,538,0.115,0.2968,2
5,46,37,0,3,63.916,0.171,0.983,314,0.094,0.2763,4
6,46,46,1,2,39.051,0.211,0.950,726,0.904,0.1707,1
7,46,33,0,3,66.639,0.263,0.917,1128,0.196,0.1595,1
8,46,45,0,8,76.280,0.013,1.000,761,0.030,0.1608,3
9,46,11,0,2,86.322,0.337,0.933,576,0.010,0.4339,5
10,46,44,0,5,70.057,0.334,0.967,225,4.091,0.2193,1
11,46,36,0,6,5.522,0.058,0.983,399,3.122,0.2684,1
12,46,42,0,5,73.698,0.168,0.967,433,0.025,0.4262,5
13,46,33,0,8,23.971,0.361,0.967,1130,0.100,0.3810,4
14,46,33,0,3,21.539,0.049,1.000,1156,0.251,0.5294,5
15,46,17,0,3,48.951,0.025,1.000,860,1.671,0.3383,3
16,46,35,0,5,77.952,0.115,0.967,1122,2.864,0.3854,2
17,46,40,0,3,69.383,0.371,0.950,341,1.660,0.2935,1
18,46,37,0,7,73.870,0.013,1.000,443,0.696,0.2718,4
19,46,38,0,2,61.346,0.090,1.000,1015,0.954,0.3714,3
20,46,19,0,3,68.658,0.166,0.967,753,1.356,0.4306,3
21,46,40,0,5,28.245,0.067,0.983,800,0.349,0.2787,2
22,46,38,0,6,81.912,0.080,0.983,311,0.647,0.0381,1
23,46,46,1,10,6.375,0.424,0.967,329,0.864,0.3415,4
24,46,43,0,5,7.135,0.103,0.967,804,0.409,0.1224,1
25,46,45,0,9,20.122,0.128,0.967,1046,0.013,0.3110,5
26,46,46,1,7,62.012,0.317,0.950,916,0.052,0.3747,3
27,46,37,0,4,36.056,0.176,0.967,475,0.116,0.4524,5
28,46,10,0,1,97.878,0.052,1.000,602,0.900,0.5739,5
29,46,41,0,6,97.637,0.487,0.967,819,0.054,0.3221,5
30,46,46,1,7,18.952,0.100,0.983,558,0.383,0.3874,3
31,46,46,1,5,63.013,0.096,0.983,983,0.078,0.3965,3
32,46,43,0,7,68.723,0.124,0.950,322,5.320,0.2236,1
33,46,29,0,2,61.211,0.011,1.000,1061,0.367,0.2431,2
34,46,39,0,6,17.338,0.086,0.983,1027,0.016,0.3993,5
35,46,40,0,3,82.528,0.097,0.983,611,0.127,0.4677,3
36,46,32,0,2,17.022,0.077,0.983,377,0.019,0.3843,4
37,46,37,0,3,22.966,0.027,1.000,308,0.134,0.4682,3
38,46,46,1,6,38.605,0.455,0.950,541,0.507,0.3787,2
39,46,42,0,7,5.161,0.153,0.967,675,0.031,0.3118,2
40,46,30,0,4,7.755,0.056,1.000,744,0.137,0.4759,5
41,46,43,0,7,90.929,0.184,0.950,428,1.652,0.3800,2
42,46,42,0,5,16.784,0.269,0.950,1161,1.639,0.1508,1
43,46,38,0,3,45.553,0.367,0.950,729,0.070,0.3380,3
44,46,20,0,3,42.757,0.561,0.950,1173,0.507,0.3735,2
45,46,42,0,6,18.391,0.009,1.000,536,3.050,0.3580,4
46,46,46,1,3,31.622,0.702,0.917,1168,0.398,0.3165,2
47,46,9,0,1,99.718,0.121,0.967,1113,1.159,0.5565,5
48,46,8,0,1,63.761,0.377,0.933,1151,3.268,0.3309,1
49,46,25,0,4,38.943,0.055,1.000,933,2.427,0.3002,2
50,46,41,0,4,49.459,0.038,1.000,830,0.054,0.2832,4
51,46,41,0,5,72.080,0.038,0.983,282,0.025,0.3932,5
52,46,43,0,7,75.159,0.392,0.983,1139,0.067,0.4361,5
53,46,34,0,4,18.961,0.468,0.950,1143,0.134,0.3453,4
54,46,36,0,3,8.966,0.068,0.983,564,0.069,0.4358,4
55,46,45,0,7,59.688,0.259,0.967,1097,1.288,0.1180,1
56,46,27,0,4,37.987,0.254,0.967,581,0.769,0.3964,3
57,46,40,0,4,55.350,0.468,0.933,1167,2.838,0.4414,3
58,46,39,0,6,59.065,0.042,0.983,408,0.064,0.2857,4
59,46,45,0,5,98.557,0.070,0.983,593,0.293,0.4283,3
60,46,35,0,2,25.200,0.007,1.000,489,0.153,0.3475,3
61,46,34,0,3,58.356,0.196,0.967,546,1.372,0.3692,3
62,46,41,0,5,65.357,0.414,0.967,703,0.080,0.2893,2
63,46,45,0,7,96.869,0.133,0.967,771,0.047,0.2972,3
64,46,39,0,5,48.159,0.011,1.000,707,0.096,0.4348,4
65,46,36,0,3,97.947,0.063,0.983,593,0.407,0.5274,5
66,46,39,0,3,75.499,0.329,0.967,576,0.009,0.2353,5
67,46,42,0,5,50.813,0.383,0.950,270,0.052,0.4379,4
68,46,46,1,6,19.884,0.124,0.950,933,0.106,0.0761,3
69,46,24,0,3,28.745,0.062,0.983,836,0.033,0.4316,5
70,46,44,0,5,44.323,0.111,0.983,937,0.046,0.3105,4
71,46,8,0,1,36.584,0.535,0.950,561,2.232,0.4969,4
72,46,44,0,4,93.197,0.063,0.983,390,0.052,0.4128,4
