client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs
0,41,21,0,2,20.828,0.260,0.967,492,0.919,0.4734,3
1,41,31,0,3,43.550,0.126,0.967,1153,0.050,0.3819,5
2,41,21,0,2,29.762,0.608,0.883,1186,2.873,0.2916,1
3,41,20,0,3,70.902,0.035,1.000,1140,4.335,0.2139,1
4,41,38,0,7,79.733,0.129,0.983,538,0.115,0.2968,2
5,41,37,0,3,63.916,0.171,0.983,314,0.094,0.2763,4
6,41,7,0,1,54.066,0.512,0.917,342,2.521,0.2630,1
7,41,33,0,3,66.639,0.263,0.917,1128,0.196,0.1595,1
8,41,32,0,6,50.482,0.031,1.000,1060,0.223,0.2751,3
9,41,11,0,2,86.322,0.337,0.933,576,0.010,0.4339,5
10,41,39,0,4,57.824,0.253,0.950,248,0.068,0.4612,4
11,41,36,0,6,5.522,0.058,0.983,399,3.122,0.2684,1
12,41,29,0,4,34.334,0.404,0.933,731,0.910,0.3815,2
13,41,33,0,8,23.971,0.361,0.967,1130,0.100,0.3810,4
14,41,33,0,3,21.539,0.049,1.000,1156,0.251,0.5294,5
15,41,17,0,3,48.951,0.025,1.000,860,1.671,0.3383,3
16,41,35,0,5,77.952,0.115,0.967,1122,2.864,0.3854,2
17,41,40,0,3,69.383,0.371,0.950,341,1.660,0.2935,1
18,41,37,0,7,73.870,0.013,1.000,443,0.696,0.2718,4
19,41,38,0,2,61.346,0.090,1.000,1015,0.954,0.3714,3
20,41,19,0,3,68.658,0.166,0.967,753,1.356,0.4306,3
21,41,40,0,5,28.245,0.067,0.983,800,0.349,0.2787,2
22,41,38,0,6,81.912,0.080,0.983,311,0.647,0.0381,1
23,41,41,1,8,86.411,0.347,0.967,241,0.461,0.3609,3
24,41,33,0,4,25.950,0.062,0.983,372,0.075,0.3581,4
25,41,33,0,5,46.122,0.194,0.967,437,0.278,0.3298,3
26,41,29,0,5,72.317,0.171,0.950,487,0.064,0.2116,1
27,41,37,0,4,36.056,0.176,0.967,475,0.116,0.4524,5
28,41,10,0,1,97.878,0.052,1.000,602,0.900,0.5739,5
29,41,41,1,6,97.637,0.487,0.967,819,0.054,0.3221,5
30,41,40,0,6,0.978,0.111,0.983,926,0.647,0.2240,1
