client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs
0,60,48,0,3,93.488,0.171,0.983,1183,0.314,0.5491,5
1,60,59,0,4,11.594,0.013,1.000,856,0.053,0.4721,4
2,60,55,0,5,79.394,0.436,0.933,538,0.358,0.1872,1
3,60,53,0,4,96.241,0.005,1.000,300,3.536,0.5163,3
4,60,38,0,7,79.733,0.129,0.983,538,0.115,0.2968,2
5,60,55,0,4,6.294,0.111,0.967,410,0.021,0.2250,1
6,60,46,0,2,39.051,0.211,0.950,726,0.904,0.1707,1
7,60,33,0,3,66.639,0.263,0.917,1128,0.196,0.1595,1
8,60,52,0,9,38.304,0.010,1.000,289,0.064,0.1937,4
9,60,59,0,7,80.554,0.117,0.967,606,0.034,0.3044,3
10,60,58,0,8,17.230,0.174,0.967,213,0.803,0.4532,4
11,60,58,0,10,93.089,0.267,0.967,619,1.364,0.4107,2
12,60,42,0,5,73.698,0.168,0.967,433,0.025,0.4262,5
13,60,33,0,8,23.971,0.361,0.967,1130,0.100,0.3810,4
14,60,53,0,4,6.631,0.045,0.983,549,1.194,0.2402,1
15,60,17,0,3,48.951,0.025,1.000,860,1.671,0.3383,3
16,60,57,0,8,53.086,0.169,0.950,456,0.693,0.3661,2
17,60,40,0,3,69.383,0.371,0.950,341,1.660,0.2935,1
18,60,37,0,7,73.870,0.013,1.000,443,0.696,0.2718,4
19,60,57,0,4,13.646,0.047,0.983,617,0.314,0.4242,3
20,60,19,0,3,68.658,0.166,0.967,753,1.356,0.4306,3
21,60,55,0,8,66.478,0.006,1.000,1006,0.079,0.0215,2
22,60,38,0,6,81.912,0.080,0.983,311,0.647,0.0381,1
23,60,59,0,13,6.275,0.288,0.967,468,1.401,0.4864,3
24,60,54,0,7,78.283,0.093,0.983,535,0.114,0.3750,5
25,60,54,0,11,50.950,0.130,0.967,979,0.028,0.3564,3
26,60,56,0,8,41.500,0.361,0.950,327,0.061,0.3256,3
27,60,57,0,5,39.010,0.173,0.967,893,0.026,0.3252,5
28,60,10,0,1,97.878,0.052,1.000,602,0.900,0.5739,5
29,60,41,0,6,97.637,0.487,0.967,819,0.054,0.3221,5
30,60,46,0,7,18.952,0.100,0.983,558,0.383,0.3874,3
31,60,60,1,8,57.469,0.079,0.983,310,0.018,0.2760,3
32,60,53,0,8,90.224,0.129,0.967,835,2.084,0.4007,2
33,60,57,0,4,64.798,0.001,1.000,1133,0.086,0.2610,4
34,60,59,0,8,17.016,0.019,1.000,761,0.166,0.3674,3
35,60,52,0,5,31.543,0.044,1.000,256,0.021,0.4136,5
36,60,60,1,4,70.293,0.036,1.000,1092,2.321,0.1902,1
37,60,60,1,4,13.685,0.004,1.000,823,0.027,0.5036,5
38,60,52,0,8,66.721,0.222,0.967,826,0.431,0.2649,3
39,60,59,0,11,46.490,0.139,0.967,294,0.553,0.1786,1
40,60,54,0,6,7.113,0.065,0.967,351,0.133,0.3284,2
41,60,56,0,8,37.707,0.249,0.967,895,0.393,0.4807,3
42,60,42,0,5,16.784,0.269,0.950,1161,1.639,0.1508,1
43,60,58,0,5,46.172,0.680,0.917,916,0.630,0.3017,2
44,60,48,0,4,56.854,0.239,0.983,253,0.007,0.3613,3
45,60,58,0,8,57.835,0.016,1.000,497,0.005,0.3042,3
46,60,52,0,5,9.587,0.819,0.933,366,0.357,0.3806,4
47,60,9,0,1,99.718,0.121,0.967,1113,1.159,0.5565,5
48,60,55,0,3,84.240,0.050,1.000,1033,0.102,0.4229,2
49,60,53,0,6,14.962,0.068,0.983,707,0.130,0.3188,4
50,60,58,0,7,27.836,0.045,0.983,1102,0.003,0.2586,5
51,60,53,0,8,58.061,0.009,1.000,200,0.024,0.3778,4
52,60,43,0,7,75.159,0.392,0.983,1139,0.067,0.4361,5
53,60,34,0,4,18.961,0.468,0.950,1143,0.134,0.3453,4
54,60,36,0,3,8.966,0.068,0.983,564,0.069,0.4358,4
55,60,51,0,9,80.590,0.236,0.983,549,0.180,0.2581,2
56,60,50,0,5,93.755,0.231,0.950,1114,2.993,0.3543,2
57,60,57,0,6,48.762,0.047,1.000,1164,0.019,0.1250,1
58,60,59,0,8,46.945,0.360,0.983,993,0.053,0.2866,2
59,60,45,0,5,98.557,0.070,0.983,593,0.293,0.4283,3
60,60,35,0,2,25.200,0.007,1.000,489,0.153,0.3475,3
61,60,60,1,5,67.023,0.212,0.983,1199,0.063,0.3243,5
62,60,41,0,5,65.357,0.414,0.967,703,0.080,0.2893,2
63,60,56,0,9,87.856,0.071,0.983,880,0.042,0.3347,4
64,60,57,0,6,9.789,0.014,1.000,1097,0.245,0.3972,3
65,60,52,0,4,49.080,0.049,1.000,360,0.803,0.4083,3
66,60,59,0,4,30.793,0.185,0.983,1044,0.029,0.3618,2
67,60,42,0,5,50.813,0.383,0.950,270,0.052,0.4379,4
68,60,46,0,6,19.884,0.124,0.950,933,0.106,0.0761,3
69,60,54,0,5,91.224,0.011,1.000,934,0.072,0.3464,4
70,60,47,0,6,48.131,0.072,0.983,546,0.060,0.3298,5
71,60,8,0,1,36.584,0.535,0.950,561,2.232,0.4969,4
72,60,47,0,5,69.714,0.100,0.983,228,0.046,0.5028,4
73,60,57,0,3,12.028,0.121,0.967,700,0.373,0.5688,5
74,60,60,1,7,88.383,0.108,0.983,1015,0.121,0.3047,2
75,60,48,0,8,39.707,0.217,0.983,1017,0.023,0.1674,1
76,60,54,0,6,22.755,0.143,0.983,862,0.004,0.2577,3
77,60,58,0,8,11.331,0.063,0.983,975,1.691,0.2525,1
78,60,51,0,11,57.989,0.327,0.950,1152,0.036,0.1165,1
79,60,59,0,11,58.493,0.007,1.000,348,0.033,0.3238,4
80,60,53,0,8,70.900,0.230,0.967,1087,0.154,0.3288,4
81,60,52,0,5,14.864,0.482,0.950,226,0.254,0.3155,2
82,60,60,1,6,41.913,0.018,1.000,916,0.097,0.4282,4
83,60,59,0,4,30.364,0.125,0.983,463,0.325,0.3793,2
84,60,60,1,8,69.712,0.518,0.967,234,0.145,0.3316,5
85,60,60,1,6,73.937,0.077,0.983,975,2.879,0.3239,2
86,60,60,1,7,55.878,0.314,0.967,308,0.132,0.3182,4
87,60,54,0,7,0.202,0.219,0.967,452,0.282,0.3497,2
88,60,53,0,6,35.887,0.177,0.983,672,0.090,0.2826,3
89,60,45,0,3,71.912,0.344,0.950,834,0.058,0.5217,5
90,60,56,0,6,54.851,0.034,1.000,551,0.362,0.2994,3
91,60,58,0,6,99.536,0.073,0.983,552,0.627,0.4063,2
92,60,30,0,3,19.933,0.123,0.967,1013,0.841,0.2412,2
93,60,55,0,5,88.663,0.093,0.983,555,1.464,0.3366,2
94,60,58,0,9,69.430,0.119,0.967,344,1.219,0.2042,1
95,60,59,0,8,67.687,0.115,0.983,488,0.041,0.2445,4
