client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs
0,76,71,0,6,39.034,0.144,0.967,900,0.123,0.2247,1
1,76,61,0,5,9.429,0.043,1.000,300,0.013,0.3799,4
2,76,74,0,6,6.876,0.354,0.983,391,0.097,0.3936,3
3,76,53,0,4,96.241,0.005,1.000,300,3.536,0.5163,3
4,76,67,0,10,39.900,0.062,1.000,662,0.843,0.2022,1
5,76,55,0,4,6.294,0.111,0.967,410,0.021,0.2250,1
6,76,46,0,2,39.051,0.211,0.950,726,0.904,0.1707,1
7,76,33,0,3,66.639,0.263,0.917,1128,0.196,0.1595,1
8,76,74,0,12,93.210,0.008,1.000,427,0.036,0.1951,5
9,76,59,0,7,80.554,0.117,0.967,606,0.034,0.3044,3
10,76,58,0,8,17.230,0.174,0.967,213,0.803,0.4532,4
11,76,58,0,10,93.089,0.267,0.967,619,1.364,0.4107,2
12,76,66,0,6,14.551,0.504,0.950,599,0.087,0.1542,1
13,76,63,0,9,38.169,0.063,0.983,259,0.059,0.3454,2
14,76,73,0,8,46.996,0.006,1.000,877,0.016,0.3484,5
15,76,73,0,6,41.802,0.001,1.000,252,0.023,0.2990,3
16,76,66,0,10,58.404,0.014,1.000,408,0.082,0.4972,4
17,76,70,0,5,52.349,0.431,0.967,999,0.003,0.2631,5
18,76,64,0,8,75.602,0.028,1.000,946,0.041,0.3830,4
19,76,76,1,8,40.467,0.008,1.000,1079,0.160,0.3298,2
20,76,19,0,3,68.658,0.166,0.967,753,1.356,0.4306,3
21,76,75,0,11,52.340,0.002,1.000,770,0.010,0.0968,1
22,76,66,0,8,55.330,0.036,0.983,1167,0.222,0.3504,2
23,76,75,0,17,91.741,0.154,0.967,519,0.069,0.2494,5
24,76,68,0,9,37.369,0.010,1.000,1130,0.023,0.1552,3
25,76,54,0,11,50.950,0.130,0.967,979,0.028,0.3564,3
26,76,74,0,10,47.904,0.359,0.950,1186,0.029,0.3734,5
27,76,72,0,6,66.016,0.127,0.967,613,0.008,0.3530,5
28,76,67,0,3,51.499,0.029,1.000,1176,3.184,0.2179,1
29,76,71,0,8,76.312,0.361,0.967,645,0.034,0.4083,5
30,76,68,0,9,71.601,0.014,1.000,828,0.110,0.2273,2
31,76,72,0,10,91.121,0.040,0.983,974,0.012,0.2409,4
32,76,67,0,9,42.823,0.060,1.000,1047,0.430,0.5460,3
33,76,65,0,6,30.807,0.003,1.000,235,0.091,0.2664,2
34,76,73,0,10,20.539,0.007,1.000,499,0.001,0.2218,4
35,76,72,0,6,15.466,0.032,1.000,213,0.034,0.3325,4
36,76,70,0,6,21.074,0.227,0.983,674,0.185,0.4208,4
37,76,65,0,5,39.346,0.013,1.000,1100,1.446,0.1907,1
38,76,70,0,10,59.876,0.139,0.983,1073,0.062,0.4636,4
