client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs
0,35,21,0,2,20.828,0.260,0.967,492,0.919,0.4734,3
1,35,31,0,3,43.550,0.126,0.967,1153,0.050,0.3819,5
2,35,21,0,2,29.762,0.608,0.883,1186,2.873,0.2916,1
3,35,20,0,3,70.902,0.035,1.000,1140,4.335,0.2139,1
4,35,34,0,5,3.764,0.220,0.967,650,4.031,0.2585,2
5,35,32,0,2,60.225,0.159,0.967,666,0.674,0.4340,3
6,35,7,0,1,54.066,0.512,0.917,342,2.521,0.2630,1
7,35,33,0,3,66.639,0.263,0.917,1128,0.196,0.1595,1
8,35,32,0,6,50.482,0.031,1.000,1060,0.223,0.2751,3
9,35,11,0,2,86.322,0.337,0.933,576,0.010,0.4339,5
10,35,17,0,3,85.626,0.531,0.933,397,0.120,0.4325,5
11,35,34,0,5,32.319,0.219,0.983,892,1.078,0.2578,1
12,35,29,0,4,34.334,0.404,0.933,731,0.910,0.3815,2
13,35,33,0,8,23.971,0.361,0.967,1130,0.100,0.3810,4
14,35,33,0,3,21.539,0.049,1.000,1156,0.251,0.5294,5
15,35,17,0,3,48.951,0.025,1.000,860,1.671,0.3383,3
16,35,35,1,5,77.952,0.115,0.967,1122,2.864,0.3854,2
17,35,26,0,2,4.573,0.181,0.967,650,0.029,0.3116,4
18,35,35,1,6,65.083,0.013,1.000,600,1.844,0.2798,3
19,35,1,0,1,68.073,4.048,0.333,505,1.721,0.9404,3
20,35,19,0,3,68.658,0.166,0.967,753,1.356,0.4306,3
21,35,20,0,3,73.409,0.051,0.983,675,2.206,0.2976,3
22,35,24,0,4,65.950,0.106,0.983,1051,0.054,0.3593,5
23,35,34,0,6,18.233,0.499,0.967,756,0.251,0.4413,4
24,35,33,0,4,25.950,0.062,0.983,372,0.075,0.3581,4
25,35,33,0,5,46.122,0.194,0.967,437,0.278,0.3298,3
26,35,29,0,5,72.317,0.171,0.950,487,0.064,0.2116,1
27,35,28,0,3,38.587,0.270,0.983,313,0.072,0.3468,3
28,35,10,0,1,97.878,0.052,1.000,602,0.900,0.5739,5
29,35,28,0,4,15.404,0.358,0.967,717,4.148,0.2697,1
30,35,29,0,5,60.545,0.179,0.967,676,0.167,0.2879,3
31,35,30,0,3,98.826,0.228,0.967,478,0.969,0.1862,1
32,35,29,0,5,19.544,0.091,0.983,471,0.051,0.4671,3
33,35,29,0,2,61.211,0.011,1.000,1061,0.367,0.2431,2
34,35,29,0,5,85.578,0.233,0.967,604,0.994,0.4655,4
35,35,19,0,2,86.960,0.181,0.967,1180,0.125,0.3990,4
36,35,32,0,2,17.022,0.077,0.983,377,0.019,0.3843,4
37,35,33,0,2,3.331,0.074,1.000,460,3.542,0.2569,1
38,35,28,0,5,1.881,0.265,0.967,805,0.136,0.4426,5
39,35,34,0,5,49.704,0.337,0.917,288,0.028,0.2151,3
40,35,30,0,4,7.755,0.056,1.000,744,0.137,0.4759,5
41,35,35,1,6,94.884,0.323,0.950,389,0.040,0.4875,5
42,35,28,0,3,17.036,0.223,0.967,1183,0.317,0.3508,2
43,35,16,0,2,37.716,0.566,0.933,204,0.048,0.3789,5
44,35,20,0,3,42.757,0.561,0.950,1173,0.507,0.3735,2
45,35,35,1,5,49.120,0.024,1.000,254,0.039,0.2988,5
46,35,14,0,2,91.560,0.961,0.933,548,0.425,0.3948,4
47,35,9,0,1,99.718,0.121,0.967,1113,1.159,0.5565,5
48,35,8,0,1,63.761,0.377,0.933,1151,3.268,0.3309,1
49,35,25,0,4,38.943,0.055,1.000,933,2.427,0.3002,2
50,35,18,0,2,69.006,0.203,0.967,451,3.897,0.3578,2
51,35,35,1,3,32.580,0.049,1.000,663,0.984,0.4192,2
52,35,32,0,6,43.994,0.381,0.967,925,2.362,0.3678,2
53,35,34,0,4,18.961,0.468,0.950,1143,0.134,0.3453,4
54,35,27,0,2,9.384,0.054,0.983,1174,0.119,0.4238,5
55,35,29,0,5,14.648,0.250,0.983,263,0.050,0.4293,5
56,35,27,0,4,37.987,0.254,0.967,581,0.769,0.3964,3
57,35,17,0,3,83.568,0.296,0.950,1053,2.616,0.3241,2
58,35,35,1,5,91.396,0.021,1.000,570,3.714,0.1494,1
59,35,32,0,4,53.061,0.057,0.983,840,1.721,0.3879,3
60,35,35,1,2,25.200,0.007,1.000,489,0.153,0.3475,3
61,35,34,0,3,58.356,0.196,0.967,546,1.372,0.3692,3
62,35,35,1,4,59.239,0.483,0.933,284,0.862,0.3452,3
63,35,27,0,4,23.272,0.241,0.967,341,2.734,0.2646,1
64,35,24,0,4,68.201,0.132,0.983,1164,2.663,0.3047,2
65,35,20,0,2,36.394,0.135,0.967,1138,0.796,0.4304,3
66,35,34,0,2,5.368,0.333,0.967,1112,0.037,0.3758,3
67,35,33,0,3,24.116,0.253,0.967,388,1.150,0.3056,2
68,35,21,0,3,37.554,0.330,0.950,834,2.497,0.3071,2
69,35,24,0,3,28.745,0.062,0.983,836,0.033,0.4316,5
70,35,4,0,1,26.854,0.757,0.867,540,2.269,0.4074,1
71,35,8,0,1,36.584,0.535,0.950,561,2.232,0.4969,4
72,35,32,0,2,83.811,0.089,0.983,481,0.152,0.3482,2
73,35,6,0,1,41.094,1.192,0.800,422,2.894,0.3832,2
74,35,26,0,4,18.486,0.186,0.983,202,1.220,0.3416,2
75,35,35,1,5,77.057,0.225,0.983,661,1.054,0.1263,1
76,35,32,0,4,10.528,0.357,0.983,231,0.288,0.3239,3
77,35,31,0,4,70.014,0.270,0.950,823,2.419,0.5000,3
78,35,33,0,7,62.821,0.222,0.967,712,0.282,0.1902,1
79,35,28,0,5,40.650,0.049,1.000,471,1.213,0.1841,1
80,35,34,0,5,13.940,0.334,0.967,717,2.123,0.2803,2
81,35,35,1,4,85.389,0.247,0.950,351,0.773,0.4163,4
82,35,32,0,3,35.243,0.030,0.983,554,0.026,0.4280,5
83,35,23,0,2,28.858,0.373,0.950,935,3.380,0.3795,2
84,35,23,0,5,92.835,0.603,0.933,986,0.075,0.2815,3
85,35,28,0,4,73.137,0.136,0.983,390,0.006,0.3505,4
86,35,30,0,5,17.831,0.373,0.933,736,0.820,0.3616,3
87,35,29,0,4,20.414,0.178,0.967,657,1.831,0.1461,1
88,35,22,0,2,72.996,0.177,0.983,671,1.823,0.2339,1
89,35,22,0,2,69.633,0.427,0.917,244,0.465,0.4690,2
90,35,34,0,3,27.258,0.094,0.983,469,2.530,0.1794,1
91,35,21,0,3,13.898,0.178,0.967,891,1.274,0.3893,3
92,35,30,0,3,19.933,0.123,0.967,1013,0.841,0.2412,2
93,35,27,0,4,92.811,0.206,0.950,807,3.318,0.2613,1
94,35,30,0,6,63.567,0.295,0.967,566,0.412,0.3150,4
95,35,31,0,4,26.217,0.150,0.967,387,0.104,0.1602,2
96,35,25,0,4,49.858,0.126,0.983,1117,3.189,0.3320,2
97,35,31,0,4,49.384,0.326,0.933,751,1.465,0.2541,1
98,35,34,0,4,26.546,0.395,0.933,335,0.013,0.4546,4
99,35,24,0,3,1.696,0.632,0.933,348,0.072,0.2963,4
