client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs
0,51,48,0,3,93.488,0.171,0.983,1183,0.314,0.5491,5
1,51,31,0,3,43.550,0.126,0.967,1153,0.050,0.3819,5
2,51,49,0,4,85.281,0.372,0.950,438,1.219,0.2391,1
3,51,20,0,3,70.902,0.035,1.000,1140,4.335,0.2139,1
4,51,38,0,7,79.733,0.129,0.983,538,0.115,0.2968,2
5,51,37,0,3,63.916,0.171,0.983,314,0.094,0.2763,4
6,51,46,0,2,39.051,0.211,0.950,726,0.904,0.1707,1
7,51,33,0,3,66.639,0.263,0.917,1128,0.196,0.1595,1
8,51,45,0,8,76.280,0.013,1.000,761,0.030,0.1608,3
9,51,48,0,3,73.853,0.081,0.983,574,0.087,0.3809,4
10,51,44,0,5,70.057,0.334,0.967,225,4.091,0.2193,1
11,51,51,1,8,20.098,0.197,0.967,600,1.565,0.5781,2
12,51,42,0,5,73.698,0.168,0.967,433,0.025,0.4262,5
13,51,33,0,8,23.971,0.361,0.967,1130,0.100,0.3810,4
14,51,33,0,3,21.539,0.049,1.000,1156,0.251,0.5294,5
15,51,17,0,3,48.951,0.025,1.000,860,1.671,0.3383,3
16,51,49,0,7,9.774,0.099,0.983,349,0.983,0.3083,2
17,51,40,0,3,69.383,0.371,0.950,341,1.660,0.2935,1
18,51,37,0,7,73.870,0.013,1.000,443,0.696,0.2718,4
19,51,47,0,3,59.740,0.038,1.000,301,1.626,0.3517,1
20,51,19,0,3,68.658,0.166,0.967,753,1.356,0.4306,3
21,51,51,1,6,51.249,0.026,1.000,1105,0.007,0.2890,5
22,51,38,0,6,81.912,0.080,0.983,311,0.647,0.0381,1
23,51,51,1,12,53.933,0.401,0.950,1023,0.284,0.2157,2
24,51,47,0,6,76.782,0.053,0.983,1160,0.029,0.3283,5
25,51,50,0,10,10.772,0.198,0.967,286,0.223,0.3094,3
26,51,46,0,7,62.012,0.317,0.950,916,0.052,0.3747,3
27,51,37,0,4,36.056,0.176,0.967,475,0.116,0.4524,5
28,51,10,0,1,97.878,0.052,1.000,602,0.900,0.5739,5
29,51,41,0,6,97.637,0.487,0.967,819,0.054,0.3221,5
30,51,46,0,7,18.952,0.100,0.983,558,0.383,0.3874,3
31,51,49,0,6,99.833,0.059,0.983,1176,1.443,0.2939,3
32,51,43,0,7,68.723,0.124,0.950,322,5.320,0.2236,1
33,51,51,1,3,40.718,0.004,1.000,742,0.048,0.1864,1
34,51,50,0,7,58.182,0.026,1.000,1060,0.071,0.1990,5
35,51,49,0,4,67.918,0.099,0.983,1052,0.742,0.4607,4
36,51,32,0,2,17.022,0.077,0.983,377,0.019,0.3843,4
37,51,37,0,3,22.966,0.027,1.000,308,0.134,0.4682,3
38,51,50,0,7,56.381,0.212,0.967,976,0.029,0.2599,5
39,51,51,1,9,32.288,0.223,0.950,943,0.053,0.1828,1
40,51,49,0,5,82.514,0.060,0.983,267,0.186,0.4077,2
41,51,43,0,7,90.929,0.184,0.950,428,1.652,0.3800,2
42,51,42,0,5,16.784,0.269,0.950,1161,1.639,0.1508,1
43,51,49,0,4,31.068,0.477,0.933,378,1.229,0.4437,3
44,51,48,0,4,56.854,0.239,0.983,253,0.007,0.3613,3
45,51,42,0,6,18.391,0.009,1.000,536,3.050,0.3580,4
46,51,51,1,4,29.270,0.748,0.933,449,0.370,0.3476,2
47,51,9,0,1,99.718,0.121,0.967,1113,1.159,0.5565,5
48,51,47,0,2,13.314,0.126,0.967,498,0.074,0.4352,3
49,51,50,0,5,59.951,0.035,1.000,1103,1.079,0.2668,1
50,51,48,0,5,67.609,0.041,1.000,1066,0.026,0.3383,3
51,51,48,0,7,43.108,0.038,1.000,901,0.040,0.2288,2
52,51,43,0,7,75.159,0.392,0.983,1139,0.067,0.4361,5
53,51,34,0,4,18.961,0.468,0.950,1143,0.134,0.3453,4
54,51,36,0,3,8.966,0.068,0.983,564,0.069,0.4358,4
55,51,51,1,9,80.590,0.236,0.983,549,0.180,0.2581,2
56,51,50,0,5,93.755,0.231,0.950,1114,2.993,0.3543,2
57,51,40,0,4,55.350,0.468,0.933,1167,2.838,0.4414,3
58,51,49,0,7,46.624,0.317,0.967,846,0.298,0.2995,4
59,51,45,0,5,98.557,0.070,0.983,593,0.293,0.4283,3
60,51,35,0,2,25.200,0.007,1.000,489,0.153,0.3475,3
61,51,34,0,3,58.356,0.196,0.967,546,1.372,0.3692,3
62,51,41,0,5,65.357,0.414,0.967,703,0.080,0.2893,2
63,51,45,0,7,96.869,0.133,0.967,771,0.047,0.2972,3
64,51,39,0,5,48.159,0.011,1.000,707,0.096,0.4348,4
65,51,36,0,3,97.947,0.063,0.983,593,0.407,0.5274,5
66,51,39,0,3,75.499,0.329,0.967,576,0.009,0.2353,5
67,51,42,0,5,50.813,0.383,0.950,270,0.052,0.4379,4
68,51,46,0,6,19.884,0.124,0.950,933,0.106,0.0761,3
69,51,48,0,4,5.026,0.065,0.983,654,0.055,0.3809,3
70,51,47,0,6,48.131,0.072,0.983,546,0.060,0.3298,5
71,51,8,0,1,36.584,0.535,0.950,561,2.232,0.4969,4
72,51,47,0,5,69.714,0.100,0.983,228,0.046,0.5028,4
73,51,43,0,2,58.044,0.202,0.983,1052,0.318,0.4788,3
74,51,44,0,5,30.682,0.129,0.983,1164,0.066,0.3803,5
75,51,48,0,8,39.707,0.217,0.983,1017,0.023,0.1674,1
76,51,41,0,5,98.828,0.383,0.967,1144,0.163,0.4216,3
77,51,46,0,7,32.170,0.185,0.950,331,0.302,0.3156,1
78,51,51,1,11,57.989,0.327,0.950,1152,0.036,0.1165,1
79,51,48,0,9,51.264,0.005,1.000,742,0.072,0.1320,4
80,51,49,0,7,3.563,0.319,0.967,1014,0.377,0.2118,1
81,51,35,0,4,85.389,0.247,0.950,351,0.773,0.4163,4
82,51,51,1,5,10.428,0.100,0.983,498,0.050,0.4386,3
83,51,44,0,3,10.786,0.221,0.950,731,0.283,0.4955,4
84,51,50,0,6,63.597,0.624,0.950,978,0.032,0.4867,5
85,51,36,0,5,81.257,0.106,0.983,274,0.416,0.3072,1
86,51,30,0,5,17.831,0.373,0.933,736,0.820,0.3616,3
87,51,47,0,6,88.617,0.032,0.983,249,1.478,0.3148,1
88,51,49,0,5,76.612,0.214,0.983,279,0.015,0.2861,2
89,51,45,0,3,71.912,0.344,0.950,834,0.058,0.5217,5
90,51,40,0,4,30.022,0.022,1.000,237,0.043,0.3193,5
91,51,38,0,4,74.659,0.148,0.967,241,1.143,0.4393,3
92,51,30,0,3,19.933,0.123,0.967,1013,0.841,0.2412,2
93,51,27,0,4,92.811,0.206,0.950,807,3.318,0.2613,1
94,51,36,0,7,30.834,0.174,0.983,306,2.995,0.2513,1
95,51,31,0,4,26.217,0.150,0.967,387,0.104,0.1602,2
96,51,50,0,7,17.980,0.029,1.000,272,0.167,0.1192,2
97,51,50,0,8,28.622,0.161,0.950,312,0.106,0.4967,5
98,51,34,0,4,26.546,0.395,0.933,335,0.013,0.4546,4
99,51,51,1,8,7.844,0.334,0.950,711,0.052,0.2011,4
