client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs
0,26,21,0,2,20.828,0.260,0.967,492,0.919,0.4734,3
1,26,22,0,2,83.846,0.216,0.967,256,0.567,0.1777,1
2,26,21,0,2,29.762,0.608,0.883,1186,2.873,0.2916,1
3,26,20,0,3,70.902,0.035,1.000,1140,4.335,0.2139,1
4,26,26,1,2,87.856,0.173,0.967,547,5.119,0.2028,1
5,26,9,0,1,9.946,0.468,0.933,738,0.453,0.4561,4
6,26,7,0,1,54.066,0.512,0.917,342,2.521,0.2630,1
7,26,24,0,2,12.326,0.195,0.950,1047,1.179,0.3421,2
8,26,23,0,3,47.233,0.189,0.967,487,0.061,0.3617,5
9,26,11,0,2,86.322,0.337,0.933,576,0.010,0.4339,5
10,26,17,0,3,85.626,0.531,0.933,397,0.120,0.4325,5
11,26,22,0,4,57.796,0.340,0.967,339,0.247,0.5048,5
12,26,16,0,3,9.370,0.465,0.950,395,1.726,0.1479,1
13,26,25,0,7,70.829,0.341,0.917,1002,2.284,0.2243,2
14,26,23,0,2,62.684,0.105,0.967,1043,0.098,0.3977,3
15,26,17,0,3,48.951,0.025,1.000,860,1.671,0.3383,3
16,26,23,0,3,9.541,0.085,0.983,274,0.078,0.4296,5
17,26,26,1,2,4.573,0.181,0.967,650,0.029,0.3116,4
18,26,12,0,2,57.999,0.296,0.950,492,0.559,0.3380,2
19,26,1,0,1,68.073,4.048,0.333,505,1.721,0.9404,3
20,26,19,0,3,68.658,0.166,0.967,753,1.356,0.4306,3
21,26,20,0,3,73.409,0.051,0.983,675,2.206,0.2976,3
22,26,24,0,4,65.950,0.106,0.983,1051,0.054,0.3593,5
23,26,21,0,4,77.414,0.715,0.900,361,2.800,0.2988,1
24,26,26,1,3,83.647,0.243,0.967,460,0.389,0.4047,4
25,26,23,0,2,16.230,0.560,0.917,391,5.001,0.1944,1
26,26,20,0,4,89.191,0.427,0.950,445,0.147,0.2808,3
27,26,26,1,2,85.503,0.311,0.950,314,0.220,0.3910,5
28,26,10,0,1,97.878,0.052,1.000,602,0.900,0.5739,5
29,26,22,0,3,48.680,0.270,0.950,978,3.449,0.3758,3
30,26,22,0,4,99.398,0.123,0.967,507,0.049,0.4106,4
31,26,25,0,2,11.965,0.401,0.967,207,3.002,0.2182,1
32,26,26,1,4,26.033,0.095,1.000,1157,0.217,0.5096,3
33,26,5,0,1,41.554,0.303,0.950,950,5.030,0.3411,1
34,26,21,0,4,20.022,0.191,0.967,789,0.242,0.3353,4
35,26,19,0,2,86.960,0.181,0.967,1180,0.125,0.3990,4
36,26,8,0,1,49.024,0.510,0.933,982,1.455,0.4092,4
37,26,4,0,1,7.159,0.456,0.967,403,3.993,0.5622,2
38,26,26,1,4,87.289,0.407,0.933,751,3.452,0.3408,1
39,26,26,1,3,64.459,0.175,0.950,549,1.081,0.3192,3
40,26,25,0,3,46.518,0.073,1.000,565,0.068,0.4763,5
41,26,23,0,3,77.295,0.292,0.950,372,3.405,0.3917,4
42,26,24,0,2,1.891,0.315,0.933,941,0.239,0.3724,3
43,26,16,0,2,37.716,0.566,0.933,204,0.048,0.3789,5
44,26,20,0,3,42.757,0.561,0.950,1173,0.507,0.3735,2
45,26,19,0,3,78.315,0.074,0.983,1123,0.714,0.2268,1
46,26,14,0,2,91.560,0.961,0.933,548,0.425,0.3948,4
47,26,9,0,1,99.718,0.121,0.967,1113,1.159,0.5565,5
48,26,8,0,1,63.761,0.377,0.933,1151,3.268,0.3309,1
49,26,25,0,4,38.943,0.055,1.000,933,2.427,0.3002,2
50,26,18,0,2,69.006,0.203,0.967,451,3.897,0.3578,2
51,26,15,0,2,87.433,0.083,1.000,826,0.386,0.5038,4
52,26,24,0,5,79.447,0.379,0.983,842,0.058,0.4816,5
53,26,16,0,2,58.494,0.470,0.950,1181,0.347,0.4173,5
54,26,10,0,1,9.362,0.032,1.000,892,3.462,0.2217,1
55,26,21,0,4,53.625,0.279,0.967,699,0.699,0.4097,4
56,26,25,0,3,87.369,0.349,0.967,1148,1.251,0.4480,4
57,26,17,0,3,83.568,0.296,0.950,1053,2.616,0.3241,2
58,26,26,1,3,70.824,0.048,1.000,310,0.086,0.2495,2
59,26,9,0,1,11.252,0.163,0.967,699,1.193,0.3699,2
60,26,3,0,1,52.758,0.773,0.883,1191,2.403,0.7750,4
61,26,22,0,2,18.005,0.326,0.950,731,1.655,0.1834,1
62,26,12,0,2,82.367,0.572,0.950,1063,0.038,0.4464,5
63,26,19,0,3,77.128,0.084,0.983,239,0.395,0.3223,2
64,26,24,0,4,68.201,0.132,0.983,1164,2.663,0.3047,2
65,26,20,0,2,36.394,0.135,0.967,1138,0.796,0.4304,3
66,26,4,0,1,75.215,0.609,0.967,350,0.977,0.5747,3
67,26,17,0,2,36.524,1.021,0.900,1141,0.136,0.3346,4
68,26,21,0,3,37.554,0.330,0.950,834,2.497,0.3071,2
69,26,24,0,3,28.745,0.062,0.983,836,0.033,0.4316,5
70,26,4,0,1,26.854,0.757,0.867,540,2.269,0.4074,1
71,26,8,0,1,36.584,0.535,0.950,561,2.232,0.4969,4
72,26,6,0,1,71.611,0.175,0.950,819,5.863,0.6044,5
73,26,6,0,1,41.094,1.192,0.800,422,2.894,0.3832,2
74,26,26,1,4,18.486,0.186,0.983,202,1.220,0.3416,2
75,26,19,0,2,55.875,0.180,0.967,756,3.372,0.1960,1
76,26,15,0,3,25.548,0.503,0.967,831,2.483,0.3668,3
77,26,22,0,3,37.255,0.689,0.883,1051,4.403,0.1904,1
78,26,26,1,5,91.162,0.347,0.933,597,0.687,0.2770,1
79,26,23,0,4,73.068,0.024,1.000,300,0.320,0.2918,3
80,26,22,0,3,90.300,0.051,0.983,529,0.972,0.3594,4
81,26,17,0,3,57.937,0.168,0.967,580,4.008,0.4263,2
82,26,13,0,2,83.545,0.123,0.967,389,0.563,0.1992,1
83,26,23,0,2,28.858,0.373,0.950,935,3.380,0.3795,2
84,26,23,0,5,92.835,0.603,0.933,986,0.075,0.2815,3
85,26,18,0,3,30.356,0.158,0.983,1036,2.664,0.2032,1
86,26,25,0,3,9.634,0.201,0.967,818,0.263,0.3326,2
87,26,15,0,2,21.415,0.247,0.967,635,0.075,0.4119,5
88,26,22,0,2,72.996,0.177,0.983,671,1.823,0.2339,1
89,26,22,0,2,69.633,0.427,0.917,244,0.465,0.4690,2
90,26,13,0,2,12.756,0.281,0.933,1113,0.741,0.3048,2
91,26,21,0,3,13.898,0.178,0.967,891,1.274,0.3893,3
92,26,16,0,2,51.930,0.371,0.950,387,0.075,0.5031,5
93,26,22,0,3,37.762,0.539,0.917,534,0.105,0.3986,4
94,26,25,0,5,91.336,0.447,0.933,201,0.136,0.4179,2
95,26,21,0,3,57.073,0.197,0.967,908,0.188,0.3137,3
96,26,25,0,4,49.858,0.126,0.983,1117,3.189,0.3320,2
97,26,24,0,2,29.819,0.359,0.917,475,2.583,0.1642,1
98,26,25,0,3,70.953,0.471,0.933,779,0.067,0.3020,2
99,26,24,0,3,1.696,0.632,0.933,348,0.072,0.2963,4
