client_id,current_round,last_selected_round,selected,participation_count,deposit,loss,accuracy,data_size,grad_norm,cosine_to_global_update,local_epochs
0,18,2,0,1,71.916,2.777,0.550,1174,13.127,0.9251,2
1,18,10,0,1,33.322,0.478,0.933,1029,0.338,0.4997,5
2,18,10,0,1,21.439,0.398,0.900,795,1.921,0.3115,2
3,18,16,0,2,83.694,0.036,1.000,518,0.201,0.4353,4
4,18,10,0,1,48.889,0.387,0.950,759,3.190,0.4437,4
5,18,9,0,1,9.946,0.468,0.933,738,0.453,0.4561,4
6,18,7,0,1,54.066,0.512,0.917,342,2.521,0.2630,1
7,18,1,0,1,20.707,2.225,0.617,794,5.460,0.9418,4
8,18,12,0,2,71.034,0.217,0.967,891,1.637,0.3399,2
9,18,11,0,2,86.322,0.337,0.933,576,0.010,0.4339,5
10,18,17,0,3,85.626,0.531,0.933,397,0.120,0.4325,5
11,18,14,0,3,48.085,0.350,0.950,1188,0.227,0.4898,4
12,18,16,0,3,9.370,0.465,0.950,395,1.726,0.1479,1
13,18,18,1,4,28.958,0.405,0.950,367,2.721,0.1612,1
14,18,6,0,1,64.839,0.442,0.933,812,2.847,0.3030,1
15,18,17,0,3,48.951,0.025,1.000,860,1.671,0.3383,3
16,18,12,0,2,67.563,0.259,0.967,791,0.631,0.4924,5
17,18,2,0,1,58.918,1.671,0.733,287,10.124,0.9173,2
18,18,12,0,2,57.999,0.296,0.950,492,0.559,0.3380,2
19,18,1,0,1,68.073,4.048,0.333,505,1.721,0.9404,3
20,18,18,1,2,58.940,0.160,0.983,377,0.674,0.3712,2
21,18,11,0,2,88.777,0.109,0.983,633,1.553,0.2843,2
22,18,17,0,3,75.517,0.117,0.983,832,0.072,0.3665,5
23,18,14,0,3,42.243,0.764,0.917,200,1.534,0.3803,3
24,18,15,0,2,11.748,0.264,0.933,1142,0.108,0.2099,1
25,18,3,0,1,93.186,0.703,0.883,662,5.669,0.4986,1
26,18,11,0,2,73.839,0.386,0.950,961,2.234,0.5051,5
27,18,9,0,1,28.253,0.371,0.950,672,2.846,0.3500,1
28,18,10,0,1,97.878,0.052,1.000,602,0.900,0.5739,5
29,18,14,0,2,67.497,0.476,0.933,1071,2.018,0.2556,1
30,18,17,0,3,9.608,0.064,1.000,486,1.336,0.3986,3
31,18,5,0,1,68.285,0.772,0.883,591,1.101,0.6402,5
32,18,15,0,3,28.961,0.286,0.933,487,1.885,0.3748,3
33,18,5,0,1,41.554,0.303,0.950,950,5.030,0.3411,1
34,18,18,1,2,2.833,0.256,0.967,1176,0.016,0.4580,4
35,18,5,0,1,66.963,0.636,0.883,558,2.879,0.5986,3
36,18,8,0,1,49.024,0.510,0.933,982,1.455,0.4092,4
