client_id,current_round,last_selected_round,selected,participation,loss,accuracy,data_size,grad_norm,cosine,local_epochs,pcdi,contribution
0,6,2,0,1,0.8712,0.7500,989,3.5221,0.9971,3.0,4702.90,0.000000
1,6,5,0,1,0.9320,0.9364,686,2.2947,0.9998,2.0,273843.60,0.000000
2,6,4,0,1,0.0015,1.0000,1194,0.0628,0.9996,5.0,7272.90,0.000000
3,6,2,0,1,0.0269,1.0000,225,5.6566,0.9917,1.0,60048.10,0.000000
4,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,268226.00,0.000000
5,6,3,0,1,0.0446,1.0000,1182,1.9460,0.9944,3.0,518.40,0.000000
6,6,4,0,1,0.3537,0.8824,897,2.7994,0.9989,2.0,24452.90,0.000000
7,6,5,0,1,0.1233,0.9643,274,0.4647,0.9999,5.0,180917.60,0.000000
8,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,13526.00,0.000000
9,6,2,0,1,1.2468,0.8972,929,4.9165,0.9988,1.0,153226.90,0.000000
10,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,224128.50,0.000000
11,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,133680.50,0.000000
12,6,3,0,1,0.1613,0.9474,202,2.3427,0.9998,5.0,46510.10,0.000000
13,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,41238.10,0.000000
14,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,45978.10,0.000000
15,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,30907.60,0.000000
16,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,12513.60,0.000000
17,6,6,1,1,0.6072,0.9048,241,0.0000,0.9991,3.0,23382.40,0.904762
18,6,4,0,1,0.4209,0.9763,916,0.1341,1.0000,4.0,666072.00,0.000000
19,6,1,0,1,1.1912,0.8917,1005,3.2588,0.9992,3.0,459989.60,0.000000
20,6,3,0,1,0.2249,0.9167,407,7.4271,0.9972,2.0,3921.60,0.000000
21,6,6,1,1,0.4010,0.8800,241,1.3513,0.9989,3.0,12494.90,0.880000
22,6,2,0,1,0.3082,0.9766,621,0.7508,0.9997,3.0,412800.40,0.000000
23,6,1,0,1,0.2116,0.9878,460,2.0783,0.9988,2.0,171330.40,0.000000
24,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,85037.60,0.000000
25,6,6,1,1,0.0023,1.0000,928,0.0988,0.9998,5.0,177588.40,1.000000
26,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,19612.10,0.000000
27,6,4,0,1,1.2530,0.7895,732,9.3445,0.9978,1.0,33760.90,0.000000
28,6,5,0,1,0.0097,1.0000,285,0.0178,0.9999,5.0,762320.10,0.000000
29,6,1,0,1,1.9786,0.7500,920,7.0324,0.9158,1.0,6738.00,0.000000
30,6,6,1,1,0.0050,1.0000,738,0.0081,0.9998,5.0,235426.10,1.000000
31,6,2,0,1,0.0169,1.0000,258,4.4458,0.9996,5.0,47444.10,0.000000
32,6,4,0,1,0.8865,0.9286,641,1.9242,0.9944,1.0,12906.40,0.000000
33,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,2005590.90,0.000000
34,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,160882.50,0.000000
35,6,6,1,1,0.6252,0.8649,388,0.1980,0.9998,5.0,16380.40,0.864865
36,6,1,0,1,0.6228,0.9333,1181,1.8655,0.9991,4.0,448436.40,0.000000
37,6,1,0,1,1.1857,1.0000,894,0.0005,0.9281,1.0,20261.60,0.000000
38,6,5,0,1,0.0001,1.0000,1013,0.0263,0.9995,5.0,12449.60,0.000000
39,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,224214.10,0.000000
40,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,32.90,0.000000
41,6,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,37222.90,0.000000
42,6,6,1,1,0.3261,0.8462,1048,1.4475,0.9981,3.0,9058.10,0.846154
