client_id,current_round,last_selected_round,selected,participation,loss,accuracy,data_size,grad_norm,cosine,local_epochs,pcdi,contribution
67,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,684796.00,0.000000
68,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,45952.90,0.000000
69,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,15758.50,0.000000
70,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,3356480.10,0.000000
71,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,110608.50,0.000000
72,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,860966.10,0.000000
73,2,1,0,1,1.1696,0.8571,716,0.0030,0.9920,2.0,64942.50,0.000000
74,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,97986.50,0.000000
75,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,131994.90,0.000000
76,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,501727.60,0.000000
77,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,193375.60,0.000000
78,2,1,0,1,0.5953,0.8750,1043,1.5881,0.9946,5.0,85648.50,0.000000
79,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,97246.90,0.000000
80,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,34210.10,0.000000
81,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,29546.10,0.000000
82,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,947.60,0.000000
83,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,7919.60,0.000000
84,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,1420.40,0.000000
85,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,114766.10,0.000000
86,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,170748.50,0.000000
87,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,225574.50,0.000000
88,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,116213.60,0.000000
89,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,123314.10,0.000000
90,2,1,0,1,1.4997,0.9000,814,1.3038,0.9741,1.0,140230.90,0.000000
91,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,22357.60,0.000000
92,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,9999.60,0.000000
93,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,2110.10,0.000000
94,2,1,0,1,0.4944,0.9823,427,0.3168,0.9991,3.0,501820.10,0.000000
95,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,117714.40,0.000000
96,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,449448.90,0.000000
97,2,2,1,1,0.2478,0.9775,1011,0.0042,0.9998,4.0,147888.50,0.977528
98,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,175943.60,0.000000
99,2,-1,0,0,0.0000,0.0000,0,0.0000,0.0000,1.0,413850.90,0.000000
